[00:00.000 --> 00:04.640]  I'm recording.
[29:28.000 --> 29:34.060]  In terms of the electronic signals, in terms of the electronic signals, it's basically conceptually
[29:34.060 --> 29:34.560]  the same.
[29:34.560 --> 29:40.660]  We're talking here about a pairing between the output and the input, all right?
[29:41.160 --> 29:46.700]  It's a pairing or comparison of the output signal versus the input.
[29:47.800 --> 29:59.260]  So fidelity, in this case, refers to how well the output signal follows the shape of the input
[29:59.260 --> 29:59.700]  signal.
[29:59.700 --> 30:05.200]  So take note that the thing of interest here is shape.
[30:05.560 --> 30:10.260]  We're not interested in the amplitude, all right?
[30:10.620 --> 30:18.000]  Because we can be designing an amplifier to have a high voltage gain or a low voltage gain.
[30:18.100 --> 30:25.740]  The voltage gain is something that, you know, is a parameter for the design, all right?
[30:25.740 --> 30:31.900]  So we don't count in terms of fidelity how much voltage gain we're getting.
[30:32.000 --> 30:38.700]  That's already encompassed in this one as well as this particular parameter here, all right?
[30:39.680 --> 30:51.740]  So, and the other thing that we're not necessarily interested in ultimately is the phase of the output
[30:51.740 --> 30:56.500]  versus the input signal, all right?
[30:56.500 --> 31:00.760]  So maybe the input signal looks like this, all right?
[31:00.840 --> 31:09.300]  This might be the input signal, but, all right, our output may be 180 degrees out of phase.
[31:09.400 --> 31:11.200]  It is completely opposite.
[31:11.640 --> 31:16.940]  That would be embodied by having a voltage gain less than zero.
[31:16.940 --> 31:19.740]  So maybe our voltage gain is negative.
[31:20.280 --> 31:24.440]  That would simply mean that the output phase is inverted.
[31:25.080 --> 31:30.980]  And again, that is not considered to be an infidelity at all, all right?
[31:31.040 --> 31:33.520]  It's not considered to be an infidelity at all.
[31:33.880 --> 31:39.260]  So it's really just the shape of the signal.
[31:39.260 --> 31:45.940]  What we'd want is if we put in a perfect triangular waveform such as this,
[31:46.300 --> 31:51.020]  we would want the output to look like a perfect triangular signal.
[31:51.360 --> 31:56.220]  If we want to, if we put in a perfect sinusoidal signal,
[31:56.760 --> 32:03.220]  we want our output to look like a perfect sinusoidal signal as well.
[32:03.580 --> 32:05.720]  So that's basically the concept.
[32:05.720 --> 32:19.360]  Now, unfortunately, all right, amplifiers in the real world cannot actually produce a totally same output signal shape, okay?
[32:20.580 --> 32:29.200]  The shape of the output signal actually changes, all right, against the input signal.
[32:29.820 --> 32:34.340]  And that is what we call as distortion, okay?
[32:34.340 --> 32:37.520]  That is what we call as distortion.
[32:37.980 --> 32:50.520]  So a desirable characteristic for our amplifier would be to have low distortion or distortion essentially that is non-existent, all right?
[32:50.680 --> 32:54.040]  And is that even possible?
[32:54.420 --> 32:58.020]  And what, in fact, does that look like, okay?
[32:58.220 --> 33:03.880]  All right, so let's have a quick look and let's continue here, hopefully, all right?
[33:03.880 --> 33:07.760]  What is distortion, okay?
[33:07.760 --> 33:14.920]  It refers to the shape of the output signal compared to the input signal, all right?
[33:15.160 --> 33:21.400]  In the ideal world, the VO over VI essentially is a constant.
[33:22.060 --> 33:27.340]  But in a real amplifier, it is not exactly constant.
[33:27.680 --> 33:31.820]  And that is what causes the distortion, okay?
[33:31.820 --> 33:38.060]  K is notoriously difficult to be made constant in a real world circuit.
[33:38.280 --> 33:56.220]  So if you had an amplifier that produces a very, very constant relationship between input and output, you'd get a transfer ratio VO versus VI, which is a perfectly straight incline, all right?
[33:56.220 --> 33:59.000]  It will be a perfectly beautiful incline.
[33:59.940 --> 34:04.740]  How steep the incline is basically is your voltage gain.
[34:05.080 --> 34:09.720]  If it is very, very, very flat like so, all right?
[34:09.720 --> 34:16.620]  The incline is not at all steep, then it basically means that your amplifier has low voltage gain.
[34:16.940 --> 34:24.340]  Whereas if it is a very, very steep transfer curve, then it's a very high voltage gain.
[34:24.420 --> 34:28.080]  But bottom line is these are straight lines, okay?
[34:28.080 --> 34:35.520]  This is your ideal amplifier where the VO over VI is a constant.
[34:36.100 --> 34:38.120]  Now, the thing is that doesn't happen.
[34:38.560 --> 34:42.900]  Usually, the transfer curve looks lazy like this.
[34:42.980 --> 34:44.900]  It might look slightly S-shaped.
[34:45.260 --> 34:48.040]  For example, that's kind of expected, in fact.
[34:48.040 --> 34:58.160]  So you don't get a perfectly flat straight line out of the amplifier's voltage gain.
[34:58.840 --> 34:58.960]  Okay?
[34:59.400 --> 34:59.740]  All right.
[35:00.120 --> 35:02.700]  So why did I X that?
[35:03.040 --> 35:04.580]  Let's clear all these drawings.
[35:05.160 --> 35:05.380]  All right.
[35:05.640 --> 35:07.600]  So let's look at this.
[35:08.360 --> 35:08.700]  All right.
[35:08.700 --> 35:25.100]  We might visually compare, all right, the shape of the output signal versus the input signal if we wanted to provide a figure of merit for the amplifier in terms of fidelity.
[35:26.140 --> 35:26.560]  All right?
[35:26.980 --> 35:28.660]  How would you quantify it?
[35:28.760 --> 35:29.840]  That's the big question.
[35:30.300 --> 35:30.560]  Okay?
[35:30.560 --> 35:50.680]  So if a real-world amplifier produces a nonlinear transfer function, okay, we would want to measure that so that we can give a figure of merit to that amplifier.
[35:50.680 --> 36:09.260]  Just like we can measure VO versus VI in terms of amplitude, and we can ascribe or provide a measure of the amplifier's voltage gain.
[36:09.840 --> 36:11.660]  That's exactly what we've done.
[36:11.940 --> 36:13.860]  We measured VO peak-to-peak.
[36:13.980 --> 36:20.520]  We measured VI peak-to-peak, divided, and we get a figure of merit in terms of voltage gain.
[36:21.420 --> 36:22.460]  That's easy.
[36:23.020 --> 36:23.200]  Right?
[36:23.300 --> 36:23.940]  That's easy.
[36:24.680 --> 36:49.440]  If you're asked to get the bandwidth of the amplifier, that's also not so difficult because you can have a look at it and say that, oh, it drops off here by this much, and this one drops off here by this much, and so therefore I will have a low frequency and high frequency bound where the amplifier's gain has dropped off significantly enough to say that, okay,
[36:49.440 --> 36:53.440]  well, that's the bandwidth of my amplifier.
[36:53.440 --> 37:07.900]  In this case, the bandwidth of this amplifier is something in the neighborhood of about 230 hertz, all the way up to approximately 10 megahertz.
[37:07.900 --> 37:10.740]  That's the bandwidth of this particular amplifier.
[37:10.740 --> 37:14.160]  And so again, you're able to quantify that.
[37:14.860 --> 37:15.040]  All right?
[37:15.620 --> 37:21.940]  So the big question here is, if it comes to distortion, all right?
[37:21.940 --> 37:29.420]  If it comes to distortion, how do we quantify distortion?
[37:30.080 --> 37:40.080]  How do we measure and be able to put a number on the question of fidelity or infidelity for that matter?
[37:40.080 --> 37:41.320]  All right?
[37:41.320 --> 37:41.340]  All right?
[37:42.340 --> 37:42.600]  Okay.
[37:42.760 --> 37:51.480]  Now, again, the clues are pretty much that we're interested only in the shape.
[37:52.700 --> 37:53.760]  All right?
[37:53.760 --> 38:13.180]  So either you define it in terms of how well the two shapes are exactly the same as each other, or you define it in terms of how big a difference in the shape is between output and input.
[38:13.180 --> 38:13.660]  Okay?
[38:13.660 --> 38:14.260]  Okay?
[38:14.260 --> 38:25.560]  So either you say how near they are to each other, or you say how far they are from each other in terms of shape, both of which are just reciprocals of the same measurement.
[38:26.340 --> 38:26.580]  Okay?
[38:26.900 --> 38:42.120]  So how can you propose, all right, can you propose how to measure the sameness or difference in shape between output and input?
[38:42.120 --> 38:43.360]  So how do you do it?
[38:43.480 --> 38:47.080]  How do you actually get a measurement of that?
[38:47.780 --> 38:53.240]  And so let me pause this as stated here, all right?
[38:53.420 --> 38:55.340]  Hopefully everybody is listening.
[38:55.480 --> 38:58.860]  I've repeated the question many, many, many times already.
[38:59.520 --> 39:08.200]  And so let me go to you guys and ask you, all right, what your thoughts are of this one.
[39:10.360 --> 39:10.800]  Anybody?
[39:10.800 --> 39:11.000]  Anybody?
[39:11.960 --> 39:14.140]  Do you want to volunteer if possible?
[39:14.780 --> 39:18.840]  Check the period of the input and output signal.
[39:19.020 --> 39:19.640]  Oh, all right.
[39:19.800 --> 39:24.520]  So the period refers to the frequency.
[39:24.520 --> 39:35.200]  And, you know, the amplifier will always produce a response that is of the same period.
[39:35.660 --> 39:39.220]  Not unless it's doing something and wiggling all by itself.
[39:40.020 --> 39:40.340]  All right?
[39:40.500 --> 39:46.020]  So that would not work.
[39:46.280 --> 39:47.220]  That would not work.
[39:47.220 --> 39:47.560]  Okay?
[39:47.560 --> 40:05.700]  So if you have anything like a semi-linear transfer function, right, even if it's a very, very bad transfer function, for whatever input you provide, there is going to be an output.
[40:05.700 --> 40:10.040]  So if your input is swinging, all right?
[40:10.040 --> 40:18.420]  If your input is swinging like this, the output will also be swinging at exactly the same frequency.
[40:18.560 --> 40:20.700]  You're not going to get any difference from there.
[40:20.700 --> 40:26.860]  Not unless the amplifier is totally unstable and it's doing outputs that are not supposed to be there.
[40:27.020 --> 40:27.140]  Okay?
[40:27.280 --> 40:29.040]  So that's not going to work.
[40:29.120 --> 40:30.300]  But thanks for that try.
[40:30.860 --> 40:31.060]  Okay?
[40:31.060 --> 40:33.760]  So what else?
[40:33.840 --> 40:35.760]  Is there any other thing that...
[40:35.760 --> 40:39.840]  Remember, okay, so the problem here is that it's a shape question.
[40:40.280 --> 40:46.720]  How the heck do you actually figure out the difference in a shape, right?
[40:47.060 --> 40:53.820]  Now, to help you visualize this, let's go back to our example here.
[40:54.180 --> 40:54.540]  All right?
[40:54.720 --> 40:56.500]  This is not an easy question.
[40:57.500 --> 40:58.120]  All right?
[40:58.140 --> 40:59.540]  Let's go back to this example.
[40:59.540 --> 41:02.300]  I'm going to X this.
[41:03.080 --> 41:03.460]  Okay?
[41:03.660 --> 41:08.260]  Because we have to go back to our transient analysis here.
[41:09.600 --> 41:10.360]  Simulation.
[41:12.900 --> 41:14.360]  Go back to transient.
[41:15.300 --> 41:15.580]  Okay?
[41:16.000 --> 41:18.100]  Let's run the simulation again.
[41:18.900 --> 41:19.160]  Okay?
[41:19.700 --> 41:21.360]  Now, here's the thing.
[41:22.280 --> 41:24.300]  Here is the output.
[41:25.060 --> 41:27.720]  And to you, all right?
[41:27.720 --> 41:37.360]  To you, if you look at the output signal, you might get the impression that, well, it looks like a sinusoidal wave, right?
[41:37.360 --> 41:43.560]  You might have the impression that, hey, this amplifier seems to be doing okay.
[41:43.800 --> 41:46.940]  I don't see any deviation at all.
[41:47.540 --> 41:47.900]  All right?
[41:47.940 --> 41:53.600]  Or I don't see it as a bad sine wave.
[41:53.600 --> 42:01.880]  By the way, all right, so to clarify, all right, just to clarify, our input signal is, in fact, a perfect sinusoidal wave.
[42:02.500 --> 42:02.800]  All right?
[42:02.840 --> 42:09.480]  So we expect that the output of this thing is also a perfect sinusoid.
[42:09.480 --> 42:11.480]  But that's the question.
[42:11.480 --> 42:16.560]  Is it a perfect sinusoidal shape-wise, all right?
[42:16.560 --> 42:19.860]  And that might be a little bit difficult to see.
[42:20.500 --> 42:20.700]  All right?
[42:20.740 --> 42:22.640]  That might be a little bit difficult to see.
[42:23.040 --> 42:31.540]  So let me just change this to a smaller value here so that we are looking at it expanded.
[42:31.900 --> 42:32.200]  All right?
[42:32.200 --> 42:33.660]  We're looking at it expanded.
[42:33.660 --> 42:39.160]  And again, this is a sinusoidal wave, supposedly.
[42:39.380 --> 42:42.800]  Now, can you see anything wrong with it?
[42:44.580 --> 42:48.360]  Can you actually see what is wrong?
[42:48.800 --> 42:49.060]  All right?
[42:49.140 --> 43:01.240]  Now, it's difficult, but you might be able to perceive that if you look at the top portion, all right,
[43:01.240 --> 43:06.860]  if you look at the top portion, you cut this down in the middle, all right?
[43:06.920 --> 43:09.140]  This is the approximate center, I guess.
[43:09.620 --> 43:09.820]  Okay?
[43:09.820 --> 43:19.280]  If you cut this down in the middle and compare this one versus how this thing looks,
[43:19.880 --> 43:23.340]  I'm sure you can see that they are not the same.
[43:24.340 --> 43:24.600]  Okay?
[43:25.340 --> 43:27.920]  The one on top is very fat.
[43:27.920 --> 43:31.960]  The one at the bottom is narrower.
[43:33.700 --> 43:33.900]  Okay?
[43:35.180 --> 43:39.000]  And that is definitely not what a sine wave is supposed to look like.
[43:39.420 --> 43:45.880]  The top and bottom portions are supposed to be exactly the same.
[43:46.740 --> 43:49.320]  They are reflective of each other.
[43:49.480 --> 43:54.320]  They have mirror images of each other on the vertical axis.
[43:54.320 --> 44:02.680]  And one way that you might want to be able to confirm that, all right, and this is, well, this is a clue.
[44:03.320 --> 44:04.320]  I don't know if it's a clue.
[44:04.440 --> 44:04.880]  What the hell?
[44:05.500 --> 44:15.920]  Is if we ask ourselves to plot the input signal, it's going to be really tiny because of that voltage gain, right?
[44:15.920 --> 44:18.340]  But we quantified the voltage gain.
[44:18.400 --> 44:20.640]  We know that it's about 180 something.
[44:21.380 --> 44:29.040]  So there's nothing wrong in taking that and using LTSpice ability.
[44:29.700 --> 44:37.160]  We can multiply the input signal by the gain that we roughly calculated a while ago.
[44:37.160 --> 44:39.160]  All right?
[44:39.160 --> 44:41.720]  And we're going to get this one.
[44:42.580 --> 44:45.680]  And again, it's still hard to compare.
[44:46.360 --> 44:52.880]  It's still hard to compare, but we can always multiply it by negative one.
[44:54.880 --> 44:55.900]  All right?
[44:55.900 --> 45:06.360]  And now we can also try to center the two so that it is fairly obvious, right?
[45:07.180 --> 45:13.960]  Plus maybe about 0.5 volts.
[45:15.420 --> 45:17.000]  No, that's too much.
[45:17.220 --> 45:18.080]  Let's reduce it.
[45:19.620 --> 45:22.000]  0.35 volts.
[45:23.820 --> 45:24.460]  Ah, there we go.
[45:24.460 --> 45:24.720]  Okay.
[45:25.020 --> 45:27.340]  So that's close enough.
[45:27.660 --> 45:27.900]  All right?
[45:27.920 --> 45:28.840]  That's close enough.
[45:28.920 --> 45:36.540]  And now you can see the deviation quite blatantly in this particular case, right?
[45:36.540 --> 45:43.780]  You can see the deviation quite blatantly in this output versus input.
[45:43.900 --> 45:52.540]  Now, remember that we're putting in factors that just shift the waveform up and down slightly.
[45:52.540 --> 46:02.780]  And in the case of the input, we are using LTSpice to multiply the input by a negative 185.
[46:03.420 --> 46:06.960]  Now, this is a multiplication factor.
[46:06.960 --> 46:08.200]  It's a gain.
[46:08.200 --> 46:09.460]  It's a gain.
[46:09.460 --> 46:09.500]  It's a gain.
[46:09.500 --> 46:14.760]  But it is mathematically, all right?
[46:15.760 --> 46:25.360]  Zero distortion or zero, you know, the transfer curve is perfectly linear because we're doing it in terms of math.
[46:25.740 --> 46:26.020]  All right?
[46:26.020 --> 46:31.080]  So it's a constant multiplier of negative 185.
[46:32.080 --> 46:44.320]  Unlike this one, which is a multiplication factor of roughly 185, except that it doesn't maintain that 185 consistently.
[46:44.320 --> 46:46.320]  And this is the result.
[46:46.960 --> 46:53.060]  So we have essentially an undistorted sine wave.
[46:53.560 --> 46:58.020]  This is what our ideal amplifier should have delivered.
[46:58.600 --> 47:02.080]  And this is the deviation.
[47:03.540 --> 47:04.560]  All right?
[47:04.960 --> 47:08.760]  The change in shape that we are talking about.
[47:08.760 --> 47:09.120]  Okay?
[47:09.120 --> 47:14.680]  And you can see now that this is a very, very big difference.
[47:15.360 --> 47:15.580]  All right?
[47:15.980 --> 47:37.620]  The lower portion of this waveform, the lower portion of this waveform is obviously narrower compared to, all right, compared to the original multiplied by the correct linear factor.
[47:37.620 --> 47:38.120]  All right?
[47:38.180 --> 47:41.900]  It should be on the same y-axis, but I can't draw it there.
[47:42.020 --> 47:42.240]  All right?
[47:42.260 --> 47:46.720]  Or maybe I'll draw it there with a dotted line.
[47:46.900 --> 47:53.700]  And you can see that, oh, the bottom part is narrower than what it should be.
[47:54.400 --> 47:54.820]  All right?
[47:55.300 --> 47:58.900]  For the top part, we can see the same thing.
[47:59.020 --> 48:02.120]  The top part is only supposed to be this wide.
[48:02.120 --> 48:11.960]  But when it comes to the output, the top part is actually wider than it should be.
[48:12.900 --> 48:13.160]  All right?
[48:13.440 --> 48:18.620]  And so we can see that the shape is wildly different.
[48:19.460 --> 48:20.560]  It's wildly different.
[48:20.560 --> 48:25.560]  This is a humongous amount of difference.
[48:26.060 --> 48:26.280]  All right?
[48:26.400 --> 48:34.120]  Which may not necessarily be very, very visible unless you're doing an KB comparison.
[48:34.840 --> 48:35.060]  Okay?
[48:35.320 --> 48:39.160]  Now, again, back to the original problem that I've been asking.
[48:39.840 --> 48:45.520]  We need to quantify this difference in shape.
[48:45.520 --> 48:52.020]  We want to get a measure of how different the shape is, in other words.
[48:53.240 --> 48:53.500]  All right?
[48:54.100 --> 48:59.500]  So the big question is, how can you get the difference in shape?
[49:00.580 --> 49:01.640]  There we go.
[49:02.000 --> 49:02.340]  All right?
[49:03.900 --> 49:09.900]  So, or the reciprocal of it being how the same are the shapes are.
[49:09.900 --> 49:16.560]  So if we can find a way to make that kind of a quantification or measurement, then we have,
[49:16.680 --> 49:24.280]  you know, a third parameter, aside from voltage gain and bandwidth, then we'll have another
[49:24.280 --> 49:30.700]  parameter which is important in characterizing how good or how lousy an amplifier is.
[49:31.300 --> 49:31.500]  Right?
[49:31.840 --> 49:32.080]  Okay.
[49:32.180 --> 49:33.400]  So back to you.
[49:33.500 --> 49:36.820]  Do you have any suggestions on how we can do it?
[49:36.820 --> 49:41.940]  Anybody?
[49:42.660 --> 49:43.860]  Any inputs?
[49:45.480 --> 49:46.760]  May naiisip ba kayo?
[49:47.360 --> 49:47.680]  All right?
[49:47.760 --> 49:49.000]  May naiisip ba kayo?
[49:51.080 --> 49:57.540]  Let's go to random volunteer.
[50:00.540 --> 50:01.340]  All right?
[50:01.660 --> 50:02.880]  Random volunteer.
[50:03.380 --> 50:04.140]  Let's see.
[50:04.220 --> 50:06.080]  Bakit marami kayong absent today?
[50:06.460 --> 50:06.800]  All right.
[50:07.780 --> 50:08.620]  Let's see.
[50:12.660 --> 50:15.220]  Si Gabriel ay sumagot na kanina, no?
[50:15.320 --> 50:16.740]  So let's, let's, okay.
[50:16.840 --> 50:21.840]  The first person on the list happens to be, I don't know how these things arranged, by the way.
[50:24.420 --> 50:28.700]  Ah, it's, ah, it's arranged essentially by first name.
[50:28.960 --> 50:29.520]  First name.
[50:29.980 --> 50:32.080]  So, unfortunately.
[50:32.080 --> 50:32.520]  Okay.
[50:32.520 --> 50:32.820]  Okay.
[50:33.000 --> 50:35.240]  So, Mr. Solomon.
[50:36.200 --> 50:37.440]  Adonis, are you there?
[50:38.480 --> 50:39.020]  Ay, nawala.
[50:39.800 --> 50:40.420]  Ang galing, ah.
[50:40.460 --> 50:41.120]  Nag-logged out.
[50:41.760 --> 50:42.320]  Stus.
[50:43.840 --> 50:45.280]  How did you do that?
[50:45.840 --> 50:47.400]  The guy logged out.
[50:48.260 --> 50:48.860]  Chickened out.
[50:49.100 --> 50:49.320]  Okay.
[50:49.320 --> 50:50.320]  Okay.
[50:50.320 --> 50:55.240]  So, the next person on the list at the top is Miss Lee.
[50:56.060 --> 50:56.400]  Ashley.
[50:57.560 --> 50:58.420]  Ashley, are you there?
[50:58.420 --> 50:58.840]  Yeah?
[51:03.320 --> 51:03.840]  Yeah?
[51:04.180 --> 51:04.440]  Okay.
[51:04.440 --> 51:11.100]  For those who aren't seeing it, she just answered by direct message.
[51:11.100 --> 51:13.740]  Oh, ano ba, Ashley?
[51:13.940 --> 51:14.800]  Anong tingin mo?
[51:14.900 --> 51:18.040]  Is there a way to actually quantify this?
[51:18.200 --> 51:19.100]  What are your thoughts?
[51:22.160 --> 51:22.600]  Any?
[51:22.940 --> 51:23.920]  Any thoughts?
[51:27.720 --> 51:29.120]  Paano natin mameasure?
[51:30.120 --> 51:32.000]  I think so, but I'm not sure.
[51:33.260 --> 51:33.700]  Okay.
[51:34.260 --> 51:34.960]  Well, yes.
[51:35.020 --> 51:36.860]  Obviously, there is a way of doing it.
[51:37.260 --> 51:37.480]  All right?
[51:37.540 --> 51:38.560]  There is a way of doing it.
[51:38.560 --> 51:40.540]  The question really here is how?
[51:41.100 --> 51:41.620]  Okay?
[51:42.120 --> 51:56.480]  Now, in terms of modern technology, all right, in terms of modern technology, in terms of this LTSpice, for example, it looks possible.
[51:56.780 --> 51:58.200]  You have a lot of tools.
[51:58.340 --> 52:00.540]  You have MATLAB, for example.
[52:01.500 --> 52:04.980]  You have the ability to program, for example.
[52:04.980 --> 52:29.900]  And so, if you were asked to get the deviation in shape, then the deviation in shape in this case would be, well, you'd have to find the amplification factor, get the tool lined up, and then you'd have to measure, for example, the area, all right, of this one.
[52:29.900 --> 52:47.900]  And if you measure that area, all right, then you'll get the percentage of deviation between the two in terms of the area covered.
[52:47.900 --> 52:51.740]  That might be one way of doing it, okay?
[52:52.260 --> 52:56.380]  But you'd need, you know, this graphing capability.
[52:57.000 --> 52:59.980]  You'd need to be able to take a snapshot of it.
[53:00.040 --> 53:03.200]  You'd need to be able to find a way to highlight that difference.
[53:03.200 --> 53:07.780]  And then, how do you get the area, all right?
[53:08.280 --> 53:14.460]  How will you actually make a measurement of that area that we're highlighting here and compare?
[53:14.580 --> 53:19.540]  Well, the area of the sinusoid is not a problem because that's a mathematical function.
[53:19.680 --> 53:20.620]  That's pretty straightforward.
[53:20.620 --> 53:36.680]  But getting the area here, all right, if you could do it and dividing that by the area of this sinusoid, all right, will tell you how much deviation there is.
[53:36.780 --> 53:43.760]  And that is certainly possible because, obviously, if they're exactly the same, there would be nothing here.
[53:43.880 --> 53:48.680]  There's nothing that's going to be here, and that would be zero, all right?
[53:48.680 --> 53:57.100]  And that would mean that you are measuring how much deviation there is, and that would be great if you had an amplifier with zero difference.
[53:57.560 --> 54:03.700]  So that's possible if you had your graphical tools and if you know how to get the area.
[54:04.200 --> 54:08.940]  I'm sure your graphical tools can actually do it, all right?
[54:08.940 --> 54:24.280]  But remember, if we go back to the 1940s, 1950s, 1960s, 1970s, and even early 1980s, this would not necessarily have been a straightforward, easy thing to do.
[54:24.900 --> 54:31.920]  And the bottom line is engineers back then already were able to make distortion measurements.
[54:32.160 --> 54:34.240]  So yes, it's definitely possible.
[54:34.760 --> 54:38.160]  The big question is how, all right?
[54:38.160 --> 54:52.800]  The big question is how, is there a more straightforward way of actually getting the difference, the distortion or how much it deviates.
[54:53.460 --> 54:53.620]  Okay?
[54:53.620 --> 55:09.660]  Now, in order to move forward so that we're not stuck for so long, well, what if, you know, we subtract the two signals and get the error signal, all right?
[55:09.900 --> 55:11.620]  Get the error signal.
[55:12.120 --> 55:12.620]  What the heck?
[55:12.620 --> 55:15.000]  Get the error signal, all right?
[55:15.000 --> 55:15.080]  Get the error signal, all right?
[55:15.080 --> 55:15.080] 
[55:15.080 --> 55:16.080]  Get the error signal, all right?
[55:16.080 --> 55:18.080]  Get the error signal, all right?
[55:18.080 --> 55:22.940]  Defined by VE is equal to V out minus V in times K.
[55:23.680 --> 55:31.080]  Whatever we have left is the difference between the two, which would be its distortion.
[55:32.820 --> 55:33.060]  Okay?
[55:33.060 --> 55:43.880]  Now, the problem with this approach, all right, is that we're dealing with signals that are time domain.
[55:44.380 --> 55:47.360]  The signal goes up and down, okay?
[55:47.360 --> 55:51.320]  How will you make a measurement of VE?
[55:51.700 --> 55:58.240]  Well, the answer essentially is that the resulting error signal is also defined as a time domain signal.
[55:58.580 --> 56:01.940]  It will be a VE sub T, right?
[56:02.040 --> 56:04.820]  It's a continuously changing thing.
[56:05.660 --> 56:09.100]  And how do you describe the shape of that, all right?
[56:09.100 --> 56:15.300]  And so let's again go back and let's try that, okay?
[56:15.500 --> 56:20.220]  We can add a signal here, all right?
[56:20.580 --> 56:28.880]  We can add a signal here and maybe use by, based on this one, we can start here.
[56:28.880 --> 56:43.040]  We can start here and say that we want to produce a signal whose value or whose waveform is defined as this first equation here,
[56:43.040 --> 57:01.040]  which is the input signal, our reference signal, minus the output signal, which would be V sub N003 plus 0.35 volts,
[57:01.120 --> 57:04.480]  because there's a bit of an offset there, all right?
[57:04.640 --> 57:07.380]  And let's put that in.
[57:08.040 --> 57:10.560]  And that's what we're going to get, all right?
[57:11.180 --> 57:12.540]  That's what we're going to get.
[57:12.540 --> 57:14.920]  Let's delete this trace, all right?
[57:15.320 --> 57:23.400]  And what you are looking at now, ladies and gentlemen, would be the signal, the difference, all right?
[57:23.460 --> 57:27.960]  This is now your error voltage, all right?
[57:28.020 --> 57:32.240]  This is now your error voltage, VE sub T.
[57:32.500 --> 57:39.560]  There is a time domain signal going from 0 to 3 milliseconds in this particular case.
[57:39.560 --> 57:45.560]  And in that span of time, the deviation, as shown here, looks like this.
[57:45.660 --> 57:50.180]  Now, if it's 0, it means that there's no deviation at all.
[57:50.920 --> 57:58.000]  And again, the ideal case would have been that you would have gotten a totally flat line, but it's not.
[57:58.080 --> 58:01.140]  You can see that it is deviating like hell, all right?
[58:01.140 --> 58:04.720]  And this tells you that there is this distortion.
[58:04.880 --> 58:08.640]  There is an error signal, and it's not 0, all right?
[58:09.120 --> 58:13.420]  Now, again, how do you quantify and put this?
[58:13.920 --> 58:16.640]  Put a value to this error.
[58:16.640 --> 58:22.860]  And that might be the challenge because it's not a sinusoidal signal.
[58:23.220 --> 58:31.480]  It is not a signal that can easily be described by a simple trigonometric function, okay?
[58:31.860 --> 58:34.080]  Kung square wave yan, madaling sabihin.
[58:34.580 --> 58:41.840]  We would have said that it's a square wave with an amplitude of so much and a frequency of something, something.
[58:41.840 --> 58:43.960]  Fine, fine, all right?
[58:44.100 --> 58:52.060]  If it looked like a triangular wave, we would be able to do something also because we would say that it's a triangular wave.
[58:52.760 --> 59:01.320]  But if you look at this error signal here, it doesn't look like any easily describable signal.
[59:01.840 --> 59:07.340]  It looks a little sinusoidal, but it's obviously not, all right?
[59:07.340 --> 59:11.640]  So the big question, again, goes back to the fundamental.
[59:12.520 --> 59:33.540]  How can we measure this deviation and provide a numeric answer that satisfies the concept and captures the concept of how much it's deviating, okay?
[59:33.540 --> 59:37.180]  All right, so that's essentially the problem.
[59:37.360 --> 59:46.020]  So yes, it might be a starting point to try to subtract output versus input and get an error signal.
[59:46.460 --> 59:55.620]  But even if you could, all right, even if you could, because in terms of electronics, it's possible to create that, maybe, all right?
[59:55.620 --> 59:59.040]  You might be able to do that subtraction electronically speaking.
[01:00:00.100 --> 01:00:03.340]  But still, how do you quantify all of this, okay?
[01:00:03.540 --> 01:00:12.400]  What is, how can you measure how much it's deviating even in terms of the error signal that you've already been able to extract, okay?
[01:00:12.540 --> 01:00:13.340]  So there you go.
[01:00:13.400 --> 01:00:17.560]  So that's essentially the crux of the matter there.
[01:00:17.760 --> 01:00:20.800]  And that's why it's an interesting problem, okay?
[01:00:20.800 --> 01:00:28.020]  So to make a long story short, because we would run out of time, okay?
[01:00:28.020 --> 01:00:45.500]  The answer really, all right, is to quantify these deviations using a very simple method, which is to begin with a sinusoidal signal, all right?
[01:00:45.500 --> 01:00:45.560]  Okay.
[01:00:46.560 --> 01:00:52.580]  Our excitation signal starts from a sinusoidal signal.
[01:00:52.580 --> 01:00:57.800]  And there's a very, very special reason.
[01:00:58.920 --> 01:01:08.100]  Because if the amplifier is perfect, then the output is going to be a perfect sinusoid.
[01:01:08.100 --> 01:01:20.680]  And if the amplifier is not perfect, it will change the shape, making it a deviant sinusoid, all right?
[01:01:21.440 --> 01:01:28.440]  A signal that deviates from a perfect sinusoid, a non-perfect sinusoidal signal.
[01:01:28.580 --> 01:01:30.940]  Now, what's so special about that?
[01:01:30.940 --> 01:01:35.500]  Well, the answer is going back to DSP.
[01:01:36.320 --> 01:01:38.780]  You guys took up DSP 101, right?
[01:01:40.180 --> 01:01:40.500]  Okay?
[01:01:40.900 --> 01:01:42.820]  Tama ba ako, everybody?
[01:01:43.500 --> 01:01:44.500]  Nag-DSP na kayo?
[01:01:45.920 --> 01:01:46.740]  Yes.
[01:01:46.920 --> 01:01:47.100]  Oh.
[01:01:47.900 --> 01:01:48.300]  All right?
[01:01:49.360 --> 01:01:58.280]  So you know that a sinusoidal signal is special because it's only a sinusoid that has,
[01:01:58.280 --> 01:02:01.520]  which is a periodic signal, all right?
