[00:00.000 --> 00:06.000]  I'm back.
[29:55.020 --> 29:59.920]  It's the input loop that's kind of counter into WITIM where you're trying to solve for IB.
[30:00.620 --> 30:01.140]  Okay.
[30:01.680 --> 30:02.160]  All right.
[30:02.160 --> 30:09.320]  And so having said that, okay, having gone through those equations, I don't know if you've memorized it.
[30:10.020 --> 30:10.740]  All right.
[30:11.240 --> 30:13.460]  I don't expect that you've memorized it.
[30:13.500 --> 30:17.300]  But if you had a little piece of paper there, hopefully you might have written it down.
[30:18.100 --> 30:18.540]  All right.
[30:18.540 --> 30:27.940]  Let me hold the screen for the moment here so that you have that opportunity to write down the equation.
[30:29.020 --> 30:29.200]  Okay.
[30:29.800 --> 30:32.760]  So that's your output equation over there.
[30:32.900 --> 30:34.340]  I am taking my pencil.
[30:34.820 --> 30:35.360]  All right.
[30:35.460 --> 30:37.960]  I'm taking my pencil.
[30:38.320 --> 30:38.620]  All right.
[30:38.620 --> 30:41.540]  And I'm writing this down as well in front of me.
[30:41.540 --> 30:49.280]  VCE is equal to VCC minus I sub C times RC plus RE.
[30:50.600 --> 30:51.360]  Okay.
[30:51.360 --> 31:11.400]  And prior to this one, it is basically your input loop, which is IB is equal to VCC minus VBE divided by RB plus beta.
[31:11.860 --> 31:12.580]  All right.
[31:12.720 --> 31:15.720]  Beta times RC plus RE.
[31:16.860 --> 31:17.340]  All right.
[31:17.820 --> 31:19.900]  Not really that hard to memorize actually.
[31:19.900 --> 31:24.960]  But hey, if you're not confident, by all means, write it down.
[31:25.420 --> 31:25.780]  All right.
[31:25.960 --> 31:29.460]  So let's get to the solving problem here.
[31:29.960 --> 31:30.440]  Oh, wow.
[31:30.540 --> 31:31.760]  This looks so complex.
[31:32.540 --> 31:34.280]  Who can try solving this?
[31:34.480 --> 31:36.060]  Mahirap pa ito o madali?
[31:36.580 --> 31:38.040]  Answer, madali lang yan.
[31:38.300 --> 31:38.500]  Okay.
[31:38.700 --> 31:38.860]  Sige.
[31:39.060 --> 31:40.960]  So let's give it a go.
[31:41.720 --> 31:42.080]  All right.
[31:42.080 --> 31:49.880]  Determine IB and VC is the, you know, are the points.
[31:50.380 --> 31:50.740]  All right.
[31:51.480 --> 31:53.440]  To get points for this quiz.
[31:54.380 --> 31:54.720]  All right.
[31:54.840 --> 31:57.260]  So determine IB and VC.
[31:57.500 --> 31:57.680]  All right.
[31:57.720 --> 32:01.080]  So IB is just the input equation.
[32:01.480 --> 32:01.780]  All right.
[32:01.780 --> 32:04.700]  So all you got to do is do your substitutions there.
[32:05.220 --> 32:07.760]  You should be able to get the answer for that.
[32:08.760 --> 32:13.660]  VC is quite easy because you have your output equation.
[32:14.020 --> 32:16.060]  You'll be able to calculate VCE.
[32:16.060 --> 32:27.680]  And you'll also be able to calculate your V sub E rather easily by recognizing that whatever
[32:27.680 --> 32:33.060]  is your calculated collector current or emitter current, if you wanted to, you know, whatever,
[32:33.780 --> 32:38.480]  which would be numerically the same thing because you're doing approximations, multiplied
[32:38.480 --> 32:42.860]  to 510 ohms will give you your V sub E.
[32:43.380 --> 32:45.780]  So just adding those two will give you your answer.
[32:46.060 --> 32:47.040]  Pretty straightforward.
[32:48.040 --> 32:57.940]  So the only challenge here might be the fact that you might be overwhelmed or confused
[32:57.940 --> 33:07.440]  or miffed or at least taken aback a little bit by why does it appear to be so complex?
[33:07.980 --> 33:08.240]  All right.
[33:08.560 --> 33:12.040]  What the hell is going on over there?
[33:12.680 --> 33:12.860]  Okay.
[33:12.860 --> 33:20.760]  So if you have a very, very quick look here, all right, thing is that you're not supposed
[33:20.760 --> 33:31.460]  to or what you should remember is that capacitors, when you're doing DC analysis, all right, when
[33:31.460 --> 33:37.360]  you're doing DC analysis, what's the rule?
[33:37.360 --> 33:48.440]  Well, the rule essentially is that if you're doing DC analysis, then the capacitors are basically open circuits.
[33:48.440 --> 34:00.000]  Remember, okay, so for DC, all right, capacitors are open circuit.
[34:00.000 --> 34:02.820]  All right. So let's not forget that.
[34:03.700 --> 34:05.100]  Keep that in mind.
[34:05.640 --> 34:11.180]  And because they are open circuit, we just mentally erase them.
[34:11.840 --> 34:19.740]  All right. We just mentally erase them so that it becomes less confusing, hopefully.
[34:20.620 --> 34:24.600]  And so now you're left essentially with a pretty much straightforward circuit.
[34:24.600 --> 34:35.080]  Okay. So if you were to ask me, sir, why are the capacitors and what is that weird configuration with that capacitor in the middle of the two resistors?
[34:35.220 --> 34:38.040]  Well, we'll get to know these and their function.
[34:38.420 --> 34:50.880]  It is going to be doing a job, but this is related to the AC amplification of this particular circuit, which we are not covering yet.
[34:50.880 --> 34:55.340]  Okay. That's for next week after the quiz.
[34:55.900 --> 34:58.900]  All right. So this is for AC purposes.
[34:59.660 --> 35:05.780]  All right. Which will allow the transistor to amplify an AC signal.
[35:06.260 --> 35:15.060]  All right. While not perturbing or changing the DC operating point.
[35:15.800 --> 35:20.240]  All right. That's the beauty of the capacitors function there.
[35:20.240 --> 35:34.160]  All right. So having this, we can say that simply that RB is just the sum of these two resistors here, which will give us 201 kilo ohms.
[35:34.680 --> 35:38.760]  Okay. 91 plus 110.
[35:39.860 --> 35:45.400]  All right. 91 kilo ohms plus 110 kilo ohms is 201 kilo ohms.
[35:45.400 --> 35:54.820]  All right. RC is equal to 3.3 K and RE is equal to 510 ohms.
[35:55.380 --> 35:58.680]  You are given a beta of 75.
[35:59.820 --> 36:00.200]  All right.
[36:00.720 --> 36:01.460]  And so that's it.
[36:01.460 --> 36:03.300]  Very, very straightforward.
[36:03.300 --> 36:16.260]  It's just a plug and play kind of problem because all you do is substitute these values into the equations that were provided and you should be able to get your answer.
[36:16.760 --> 36:16.960]  All right.
[36:16.960 --> 36:24.220]  So just to reiterate, if you have not yet written it down, well, the slide this time is happy enough to put it up there.
[36:24.780 --> 36:30.500]  VCC minus VBE over RB plus beta times RC plus RE.
[36:30.500 --> 36:33.260]  This is just a question of substitution.
[36:33.260 --> 36:34.260]  All right.
[36:35.000 --> 36:38.260]  And the output equation.
[36:38.860 --> 36:39.200]  All right.
[36:39.680 --> 36:42.580]  You can, in fact, just do it in one shot.
[36:43.240 --> 36:43.480]  All right.
[36:43.520 --> 37:00.060]  So instead of using VCE as the actual thing that you're trying to solve, you can simply shift over to just taking VCC and subtracting ICRC.
[37:00.060 --> 37:01.180]  All right.
[37:01.180 --> 37:04.220]  Because that gives you your collector voltage immediately.
[37:04.580 --> 37:06.340]  So I don't know if you recognize that.
[37:06.880 --> 37:08.560]  VCC is all the way up here.
[37:08.660 --> 37:10.060]  That's your supply voltage.
[37:12.060 --> 37:12.800]  All right.
[37:13.540 --> 37:15.280]  Which is 80 volts.
[37:15.280 --> 37:28.060]  If you subtract the voltage here, you're basically left with the collector voltage V sub C, which is answering the question more directly.
[37:28.440 --> 37:28.640]  All right.
[37:28.640 --> 37:47.380]  So again, that's very, very easy because of the fact that if you start by calculating IB, you'll be able to basically calculate your I sub C because you have your beta given in the problem.
[37:47.740 --> 37:48.020]  All right.
[37:48.020 --> 37:53.240]  So this makes the answering of this thing particularly straightforward.
[37:54.200 --> 37:55.880]  So don't hesitate to manipulate.
[37:56.240 --> 38:01.800]  And when you recognize that I can get it more directly by this, by all means, go ahead and do that.
[38:02.200 --> 38:02.320]  Okay.
[38:02.320 --> 38:07.900]  So the end result, nobody calculated it.
[38:08.240 --> 38:08.500]  All right.
[38:08.540 --> 38:09.340]  But what the hell?
[38:10.240 --> 38:13.620]  This is, again, just the question of substitute shot.
[38:14.240 --> 38:29.320]  18 minus 0.7 divided by 201K plus 75 times 3.3K plus 510 ohms.
[38:29.320 --> 38:30.240]  Okay.
[38:30.240 --> 38:30.320]  Okay.
[38:30.760 --> 38:31.200]  All right.
[38:31.780 --> 38:33.000]  So that's your IB.
[38:34.200 --> 38:34.580]  All right.
[38:34.720 --> 38:36.500]  IB is equal to that.
[38:36.980 --> 38:38.220]  Somebody has a calculator.
[38:38.480 --> 38:39.500]  You'd be happy to calculate it.
[38:39.500 --> 38:41.320]  And is happy enough to calculate it.
[38:41.400 --> 38:42.100]  You can do that.
[38:42.100 --> 38:47.400]  Well, I do happen to have a calculator now that I'm here.
[38:48.740 --> 38:52.940]  17.3 volts divided by, okay, this one's quite a bit bigger.
[38:53.180 --> 38:55.860]  So I'll do the 3.3K.
[38:55.860 --> 39:08.340]  3,300 plus 510, all right, times 75 is a, oh, it's a very big value.
[39:08.900 --> 39:09.340]  All right.
[39:09.340 --> 39:24.900]  This is equal to 201 kilo ohms plus 285.75 K ohms, all right, which is going to calculate
[39:24.900 --> 39:28.360]  to a very, very small IB, all right, indeed.
[39:29.180 --> 39:32.180]  And I ran out of space.
[39:32.180 --> 39:34.120]  So let's put that down here.
[39:34.120 --> 39:53.420]  I sub B, okay, hang on, okay, is equal to 17.3 volts divided by 486, all right, 486.75K,
[39:53.420 --> 40:02.180]  which is, oh, well, it's not really that tiny.
[40:02.900 --> 40:10.640]  35.54 micro amperes, all right.
[40:11.580 --> 40:15.880]  Hopefully I mistyped anything, all right.
[40:15.940 --> 40:16.900]  Let's try that again.
[40:16.900 --> 40:32.600]  17.3 divided by 486.75 times 10 to the third is indeed 300, sorry, 35.54 micro amperes.
[40:32.680 --> 40:35.540]  So that's the first answer, all right.
[40:35.580 --> 40:36.820]  That's the first answer.
[40:36.940 --> 40:39.840]  You now have I sub B, all right.
[40:39.840 --> 40:51.080]  And of course, following this equation here, V sub C is equal to 18 volts minus, all right,
[40:51.600 --> 41:02.840]  I sub C, which we'll have to calculate first, I C is equal to 75 times 35.54 micro amperes.
[41:02.900 --> 41:05.840]  This is a small amount of current, okay.
[41:05.840 --> 41:05.920]  Okay.
[41:09.840 --> 41:19.520]  2.66, 2.665639.
[41:19.780 --> 41:19.920]  Okay.
[41:20.000 --> 41:21.460]  What, how do you run that?
[41:21.580 --> 41:22.980]  Oh, 2.666.
[41:23.160 --> 41:24.220]  Oh my God.
[41:24.600 --> 41:24.780]  All right.
[41:25.420 --> 41:27.160]  2.67.
[41:28.440 --> 41:29.120]  All right.
[41:29.820 --> 41:33.600]  2.67 milli amperes.
[41:33.780 --> 41:34.020]  Okay.
[41:34.020 --> 41:38.320]  So approximately, but, you know, I'm not rounding it off.
[41:38.320 --> 41:40.500]  I mean, we have the calculated answer here.
[41:41.060 --> 41:41.480]  All right.
[41:41.520 --> 41:47.340]  And so we can multiply this to our R sub C, all right.
[41:47.340 --> 41:56.620]  And that will give us 8.79, right?
[41:56.620 --> 42:01.200]  8.79, 8.8 volts practically.
[42:01.700 --> 42:01.880]  All right.
[42:02.520 --> 42:07.240]  18 minus, what's this?
[42:07.240 --> 42:07.520]  Sorry.
[42:07.520 --> 42:17.600]  8.79, 8.79, 6, 6 volts, which is equal to, right?
[42:17.600 --> 42:18.580]  9.2.
[42:20.580 --> 42:21.140]  Okay.
[42:21.520 --> 42:24.880]  So there's your answer for these two questions.
[42:25.180 --> 42:25.360]  All right.
[42:25.480 --> 42:27.120]  I, B, and V sub C.
[42:27.120 --> 42:29.140]  These are the answers.
[42:30.040 --> 42:31.140]  9.20.
[42:32.120 --> 42:32.500]  All right.
[42:32.980 --> 42:33.240]  Okay.
[42:33.680 --> 42:36.240]  So are there any questions about this, people?
[42:37.000 --> 42:37.600]  May tanong ba?
[42:41.280 --> 42:42.040]  Madali, di ba?
[42:42.620 --> 42:42.960]  Madali.
[42:51.460 --> 42:51.860]  Questions?
[42:51.860 --> 42:52.580]  Questions?
[42:53.140 --> 42:55.580]  Ay, naku, buhay na buhay yung klase ngayon, ha?
[42:56.160 --> 42:57.320]  Mayabang, mayabang.
[42:58.040 --> 42:59.460]  Ayaw magtanong kasi.
[42:59.780 --> 43:00.200]  O, yan.
[43:00.420 --> 43:01.840]  Tapos, pagdating ng quiz.
[43:03.300 --> 43:03.540]  Okay.
[43:03.760 --> 43:04.800]  Pakitaan niyo ako, ha?
[43:04.880 --> 43:05.740]  Pagdating ng quiz.
[43:05.880 --> 43:07.140]  Dapat, perfect ang sagot.
[43:07.280 --> 43:08.340]  Walang nagtatanong, eh.
[43:08.780 --> 43:08.960]  O.
[43:10.240 --> 43:10.640]  Questions?
[43:11.280 --> 43:11.780]  No questions?
[43:12.340 --> 43:12.720]  All right.
[43:13.140 --> 43:15.140]  If there are no questions, thumbs up, please.
[43:15.600 --> 43:16.600]  Buhay ba ba kayo dyan?
[43:16.720 --> 43:16.900]  Hello?
[43:16.900 --> 43:17.000]  Hello?
[43:20.340 --> 43:20.780]  Yes?
[43:20.780 --> 43:21.500]  Okay.
[43:23.120 --> 43:23.460]  All right.
[43:24.540 --> 43:24.840]  Sige.
[43:25.500 --> 43:26.500]  So, looks easy.
[43:27.460 --> 43:28.660]  Why does it look easy?
[43:28.840 --> 43:29.720]  Because it's easy.
[43:30.120 --> 43:30.640]  All right.
[43:31.120 --> 43:32.280]  So, let's go forward.
[43:33.220 --> 43:33.680]  All right.
[43:34.920 --> 43:35.860]  Sample problem.
[43:36.500 --> 43:37.540]  Another one here.
[43:37.880 --> 43:39.160]  Another one bites the dust.
[43:40.000 --> 43:41.520]  Ay, halos pareho lang to, eh.
[43:44.200 --> 43:44.840]  Okay.
[43:46.220 --> 43:49.060]  Pretty much similar problem.
[43:49.060 --> 43:52.840]  Again, just a question of substitution.
[43:54.340 --> 43:54.580]  Okay.
[43:54.940 --> 43:56.240]  Question of substitution.
[43:57.020 --> 43:58.880]  Get slightly different answer.
[43:59.600 --> 43:59.760]  All right.
[44:01.080 --> 44:04.400]  4K, 460K, and 1 kilo ohm.
[44:05.280 --> 44:07.440]  Beta equals 100.
[44:08.000 --> 44:10.420]  Slightly higher operating voltage.
[44:11.000 --> 44:14.800]  Supply voltage of 20 volts.
[44:14.800 --> 44:15.560]  Okay.
[44:15.660 --> 44:17.280]  So, what's that going to turn out to be?
[44:17.480 --> 44:17.740]  All right.
[44:19.220 --> 44:20.780]  Another sample problem here.
[44:24.420 --> 44:28.240]  Puro mga sample problems na lang yata ito.
[44:28.340 --> 44:28.980]  Matali yun lang.
[44:29.480 --> 44:30.440]  Matali yun lang ba?
[44:30.520 --> 44:30.840]  Matali.
[44:31.520 --> 44:32.140]  Okay.
[44:32.480 --> 44:32.800]  All right.
[44:33.520 --> 44:34.580]  Eh, eh, eh.
[44:35.580 --> 44:36.180]  All right.
[44:36.180 --> 44:39.520]  So, again, all you need is formula.
[44:40.020 --> 44:40.260]  Okay.
[44:41.360 --> 44:46.900]  Our I sub V is equal to VCC minus VBE.
[44:47.100 --> 44:47.660]  Ay, I'm cool.
[44:47.660 --> 44:48.540]  All right.
[44:48.620 --> 44:53.900]  Over RB plus beta times RC plus RE.
[44:53.900 --> 45:00.140]  I mean, how can you possibly make a mistake with some simple problem such as this, eh?
[45:00.740 --> 45:01.100]  All right.
[45:01.220 --> 45:06.260]  And VCE is equal to VCC minus.
[45:07.340 --> 45:07.760]  All right.
[45:08.460 --> 45:10.380]  Again, as an approximation.
[45:10.940 --> 45:11.600]  Well, whatever.
[45:11.920 --> 45:17.080]  You can just use IC times RC plus RR.
[45:19.460 --> 45:20.100]  Okay.
[45:20.680 --> 45:21.480]  Well, there you go.
[45:21.480 --> 45:27.240]  And, of course, the missing equation there would be to relate IB and IC.
[45:28.140 --> 45:28.420]  Okay.
[45:28.480 --> 45:30.580]  IC is equal to beta IB.
[45:31.280 --> 45:31.600]  There.
[45:32.040 --> 45:32.380]  All right.
[45:32.440 --> 45:37.920]  And once you have these three, plug and produce answer.
[45:39.040 --> 45:39.620]  All right.
[45:40.540 --> 45:41.260]  Taliran lang yan.
[45:42.200 --> 45:47.460]  I think the problem really here is that the slides don't actually provide the correct answer.
[45:47.680 --> 45:50.720]  But, yeah, well, what the hell.
[45:51.140 --> 45:51.280]  Okay.
[45:51.480 --> 45:54.900]  It's more than enough time, actually.
[45:55.200 --> 45:57.300]  So, nobody will complain.
[45:57.500 --> 45:59.560]  Ah, sir does not provide answer.
[45:59.700 --> 46:00.140]  Oh, ito.
[46:00.280 --> 46:01.120]  May mga sagot.
[46:01.580 --> 46:02.220]  Sige.
[46:02.840 --> 46:05.920]  So, again, we start with IB.
[46:07.300 --> 46:07.560]  Okay.
[46:07.680 --> 46:10.560]  20 volts minus 0.7.
[46:11.240 --> 46:12.140]  Dibye, dibye.
[46:12.140 --> 46:13.140]  460K.
[46:13.140 --> 46:13.140] 
[46:13.140 --> 46:14.220]  460K.
[46:14.220 --> 46:15.100]  Wow.
[46:15.100 --> 46:16.260]  Very high value.
[46:17.960 --> 46:24.820]  Plus 100 multiplied to 4K plus 1K.
[46:25.560 --> 46:26.000]  All right.
[46:26.340 --> 46:29.180]  And, obviously, now we can.
[46:29.860 --> 46:30.860]  Don't hang on me.
[46:31.280 --> 46:31.620]  All right.
[46:31.620 --> 46:40.960]  19.3 volts divided by 5 kilo ohms here times 100.
[46:40.960 --> 46:47.260]  So, 460K plus 500K.
[46:47.260 --> 46:48.580]  All right.
[46:48.580 --> 46:48.640]  All right.
[46:48.640 --> 46:51.180]  Which gives us 960K.
[46:52.480 --> 46:58.580]  19.3 volts over 960K ohms.
[46:58.580 --> 47:01.400]  Which is really tiny in value.
[47:01.400 --> 47:02.460]  All right.
[47:03.960 --> 47:05.460]  19.3.
[47:05.940 --> 47:16.300]  Oh, well, again, as a sanity check, make sure that you don't get some really odd looking VCE value.
[47:16.300 --> 47:21.300]  Mamiya, pag-calculate mo, eh, imposible yung value.
[47:21.920 --> 47:23.800]  Kailangan ma-recognize ninyo.
[47:24.320 --> 47:25.620]  Negative ang lumabas.
[47:25.840 --> 47:25.980]  Okay.
[47:26.180 --> 47:28.020]  So, obviously, can't be possible.
[47:28.780 --> 47:33.300]  Or, well, something like that.
[47:34.020 --> 47:34.120]  Okay.
[47:34.240 --> 47:40.780]  So, 19.3 divided by 960 times 10 to the third.
[47:41.720 --> 47:42.020]  Okay.
[47:42.020 --> 47:47.340]  Which is going to give you a rather small 20.1.
[47:47.640 --> 47:47.960]  All right.
[47:49.860 --> 47:51.120]  Micro amperes.
[47:51.540 --> 47:52.440]  As your IB.
[47:53.520 --> 47:53.720]  All right.
[47:53.800 --> 47:55.400]  I hope somebody is cross-checking.
[47:55.520 --> 47:56.660]  There's nothing better to do.
[47:56.760 --> 47:57.780]  Run your calculator.
[47:57.960 --> 47:59.820]  Sayang naman yung pagbili nyo ng calculator.
[48:00.820 --> 48:01.080]  Okay.
[48:01.160 --> 48:02.540]  So, there's your I sub V.
[48:03.640 --> 48:05.480]  Therefore, your I sub C.
[48:05.880 --> 48:06.300]  All right.
[48:06.480 --> 48:10.480]  Is this multiplied by a factor of 100.
[48:10.480 --> 48:19.960]  This gives you a 2.01 milliampere for I sub C.
[48:20.340 --> 48:23.940]  Which will aid your calculation for VCE.
[48:24.700 --> 48:25.440]  All right.
[48:25.440 --> 48:30.500]  Because VCE basically is equal to.
[48:30.500 --> 48:31.760]  All right.
[48:31.760 --> 48:31.760] 
[48:32.360 --> 48:38.360]  VCC minus IC times RE plus.
[48:39.500 --> 48:40.360]  Sorry.
[48:40.620 --> 48:41.260]  RC.
[48:42.260 --> 48:42.980]  All right.
[48:42.980 --> 48:46.700]  So, this is again the same banana here.
[48:47.340 --> 48:51.460]  And we can see that VCE is equal to 20 volts.
[48:52.840 --> 49:02.320]  Subtracted by 2.01 milliampere multiplied to 5k ohms.
[49:03.080 --> 49:03.460]  All right.
[49:03.460 --> 49:06.480]  And just a little bit of mental math.
[49:06.920 --> 49:09.200]  You can see that this is 2 times 5.
[49:10.120 --> 49:10.480]  All right.
[49:10.620 --> 49:12.440]  2 times 10 to the minus 3.
[49:12.940 --> 49:13.980]  Times 5.
[49:14.100 --> 49:15.340]  Times 10 to the third.
[49:16.040 --> 49:16.360]  Cancel.
[49:16.460 --> 49:16.840]  Cancel.
[49:16.940 --> 49:18.960]  That gives you approximately 10 volts.
[49:19.720 --> 49:20.140]  All right.
[49:20.300 --> 49:27.220]  And so, 20 minus 10 volts gives you approximately 10 volts.
[49:27.220 --> 49:27.780]  Okay.
[49:28.260 --> 49:31.520]  So, actually, in fact, 9.9 volts.
[49:33.060 --> 49:34.660]  Unless my math is wrong.
[49:35.480 --> 49:35.720]  Okay.
[49:37.320 --> 49:38.320]  There we go.
[49:40.400 --> 49:41.040]  Okay.
[49:41.200 --> 49:47.300]  I'm using slightly more, you know, exacting values here.
[49:47.420 --> 49:48.980]  Because I'm not rounding off.
[49:49.040 --> 49:52.020]  I'm letting the calculator just go right along with it.
[49:52.020 --> 49:52.860]  Okay.
[49:53.480 --> 49:58.260]  And this gives a 9.947.
[49:58.700 --> 49:59.040]  All right.
[49:59.760 --> 50:01.380]  9.947.
[50:01.920 --> 50:02.920]  948.
[50:03.500 --> 50:07.480]  9.948 volts.
[50:08.840 --> 50:11.220]  9.95 volts.
[50:12.020 --> 50:12.980]  What the hell?
[50:13.280 --> 50:13.520]  All right.
[50:13.920 --> 50:14.460]  Close enough.
[50:14.980 --> 50:15.240]  All right.
[50:15.320 --> 50:18.380]  So, VCE is equal to 9.95.
[50:18.920 --> 50:19.340]  All right.
[50:19.560 --> 50:21.440]  And that's your IB answer here.
[50:21.440 --> 50:23.440]  And that answers the questions.
[50:24.360 --> 50:24.760]  All right.
[50:27.280 --> 50:28.360]  All three of them.
[50:28.600 --> 50:28.860]  Okay.
[50:29.220 --> 50:31.180]  So, I hope that there are no issues here.
[50:32.060 --> 50:33.280]  Are there questions, people?
[50:37.860 --> 50:38.300]  Talangan.
[50:38.500 --> 50:38.760]  Patali.
[50:39.040 --> 50:39.360]  Easy.
[50:39.540 --> 50:39.800]  Easy.
[50:39.980 --> 50:40.160]  Okay.
[50:40.280 --> 50:41.940]  So, I think we can go forward.
[50:45.120 --> 50:45.660]  All right.
[50:46.240 --> 50:47.080]  Can we go forward?
[50:47.220 --> 50:47.980]  Can we go forward?
[50:49.180 --> 50:49.900]  No problem.
[50:51.440 --> 50:52.040]  Okay.
[50:53.660 --> 50:53.960]  All right.
[50:54.260 --> 50:55.440]  So, let's go forward.
[50:57.120 --> 50:58.400]  Oh, look at this.
[51:00.820 --> 51:01.540]  Hang on.
[51:02.020 --> 51:02.840]  Erase everything.
[51:03.640 --> 51:04.260]  Eraser.
[51:05.320 --> 51:05.680]  Hang on.
[51:05.920 --> 51:06.400]  Erase.
[51:07.000 --> 51:07.760]  Hear everything.
[51:09.820 --> 51:10.600]  All right.
[51:10.600 --> 51:15.920]  Determine the power dissipated by P sub C in milliwatts.
[51:16.200 --> 51:19.580]  Use approximate analysis if acceptable.
[51:19.920 --> 51:20.240]  Ayan.
[51:20.520 --> 51:20.860]  Ayan.
[51:20.980 --> 51:21.740]  Mas may challenge.
[51:21.880 --> 51:24.500]  This is back to the Thursday lesson.
[51:25.020 --> 51:25.340]  All right.
[51:25.520 --> 51:28.240]  Now, do you remember how to do this?
[51:31.240 --> 51:32.380]  Mad scramble.
[51:32.380 --> 51:36.680]  Use approximate analysis if acceptable.
[51:36.680 --> 51:37.080]  Oop.
[51:37.300 --> 51:37.860]  Mula yung pen.
[51:38.440 --> 51:38.700]  All right.
[51:39.480 --> 51:46.480]  And that's the question.
[51:46.720 --> 51:54.240]  Now, do you guys remember how to determine if approximate analysis is acceptable?
[51:54.240 --> 51:59.340]  Excuse me.
[51:59.340 --> 51:59.420]  Excuse me.
[52:02.960 --> 52:03.680]  Data.
[52:05.680 --> 52:06.160]  O.
[52:07.020 --> 52:07.620]  Oy.
[52:08.020 --> 52:09.220]  Sumagot naman kayo dito.
[52:09.340 --> 52:10.440]  Lagay dito sa chat.
[52:10.940 --> 52:11.380]  Paano?
[52:12.060 --> 52:12.360]  All right.
[52:12.360 --> 52:17.980]  How do I determine if approximate analysis is acceptable?
[52:18.580 --> 52:18.960]  All right.
[52:19.060 --> 52:19.960]  How do I do that?
[52:20.080 --> 52:20.820]  What do I need?
[52:23.520 --> 52:25.180]  What info do I need?
[52:25.360 --> 52:26.640]  How do I calculate it?
[52:35.080 --> 52:35.560]  Hello.
[52:37.880 --> 52:39.240]  Nobody wants to answer?
[52:39.240 --> 52:39.300]  Okay.
[52:42.360 --> 52:43.360]  Ahem.
[52:49.360 --> 52:50.000]  Ahem.
[52:50.000 --> 52:50.160]  Ahem.
[52:50.640 --> 52:55.140]  Everybody is not in the mood to bother with the lesson.
[52:56.400 --> 52:56.740]  Okay.
[52:57.000 --> 52:57.120]  Ayan.
[52:57.800 --> 52:58.420]  Ayan na.
[52:58.860 --> 53:00.320]  Thank you very much.
[53:00.540 --> 53:00.820]  All right.
[53:00.980 --> 53:07.180]  So, somebody here says beta RE is greater than 10 times R2.
[53:07.620 --> 53:07.960]  All right.
[53:08.740 --> 53:09.960]  Greater than or equal to.
[53:10.040 --> 53:10.140]  Yeah.
[53:10.260 --> 53:10.540]  All right.
[53:10.540 --> 53:11.260]  So, there we go.
[53:11.600 --> 53:12.020]  Very good.
[53:12.020 --> 53:12.960]  Thank you very much.
[53:13.620 --> 53:13.940]  All right.
[53:14.540 --> 53:17.840]  So, beta times RE.
[53:18.500 --> 53:19.020]  All right.
[53:19.300 --> 53:21.020]  Is it greater than?
[53:22.460 --> 53:22.980]  Ideally.
[53:23.220 --> 53:23.500]  All right.
[53:23.620 --> 53:25.420]  Ideally, it would be greater than.
[53:25.940 --> 53:27.940]  Greater, greater than would be even best.
[53:28.440 --> 53:28.780]  All right.
[53:30.960 --> 53:33.400]  10 times R2.
[53:33.800 --> 53:34.220]  All right.
[53:34.220 --> 53:35.000]  Okay.
[53:35.000 --> 53:35.100]  Okay.
[53:35.100 --> 53:35.160]  Okay.
[53:35.160 --> 53:35.160] 
[53:35.160 --> 53:35.160] 
[53:35.160 --> 53:35.160] 
[53:35.160 --> 53:35.160] 
[53:35.160 --> 53:35.160] 
[53:35.160 --> 53:35.160] 
[53:35.160 --> 53:35.160] 
[53:35.160 --> 53:47.260]  Okay.
[53:47.260 --> 53:39.720]  And by inspection, well, is it a close call?
[53:39.720 --> 53:45.600]  or is it a very obvious yes, it's okay or whatever.
[53:45.600 --> 53:48.440]  So your beta is 80.
[53:48.840 --> 53:53.280]  You'll be multiplying that to 1.2 kilo ohms.
[53:53.860 --> 53:57.820]  Whereas this one is a 7 kilo ohm,
[53:58.000 --> 54:02.440]  which if you multiply by 10 is just 70 kilo ohms.
[54:02.840 --> 54:03.060]  All right?
[54:03.460 --> 54:04.980]  So dito palang obvious.
[54:05.160 --> 54:06.720]  Actually, as I was sitting here,
[54:06.760 --> 54:08.580]  it was already looking pretty obvious.
[54:08.580 --> 54:10.620]  But anyway, all right?
[54:10.720 --> 54:13.420]  So if this were exactly 1 ko,
[54:14.060 --> 54:17.680]  multiplying it by 80 will give you 80k.
[54:18.460 --> 54:18.720]  All right?
[54:18.840 --> 54:20.920]  So dito palang, oo na.
[54:21.300 --> 54:21.520]  Diba?
[54:21.760 --> 54:23.160]  It's already a yes.
[54:23.800 --> 54:27.720]  But, all right, given the fact that it is 1.2 k,
[54:27.820 --> 54:30.040]  which is even greater than 1 kilo ohm,
[54:30.420 --> 54:32.100]  then the answer is yes.
[54:32.380 --> 54:32.760]  All right?
[54:32.880 --> 54:34.340]  It's pretty obviously yes.
[54:34.340 --> 54:38.280]  So given this,
[54:38.920 --> 54:44.720]  we can say that approximate analysis is acceptable.
[54:44.720 --> 54:45.720]  All right?
[54:47.860 --> 54:50.640]  So approximate analysis is acceptable.
[54:50.640 --> 54:53.640]  So let's use approximate analysis.
[54:53.840 --> 54:56.200]  Now, do you remember what to do
[54:56.200 --> 54:58.460]  to try to get the answer for this?
[54:59.200 --> 54:59.560]  All right?
[54:59.820 --> 55:01.420]  So when you do approximate analysis,
[55:01.600 --> 55:03.480]  it's very easy because everything,
