[00:00.000 --> 00:15.120]  Don't hesitate to let me know so that your questions can be properly addressed.
[37:40.420 --> 37:43.220]  All right. So, are there questions about this? May tanong ba?
[37:47.220 --> 38:00.100]  Questions? Nobody is answering. Do I get the thumbs up? Are we following? No problem? Okay. Sige. So, let's go forward.
[38:00.100 --> 38:15.780]  Finally, we have the most complex model of all, which is the simplified piecewise linear approximation. So, we add another
[38:17.780 --> 38:26.900]  element into our equivalent where we add an equivalent resistance.
[38:26.900 --> 38:37.220]  Our R sub D that we were talking about a little while ago, okay? So, with the V sub D conduction of
[38:37.780 --> 38:46.820]  whatever, 0.6 or 0.7 volts, all right, we put another element so that that vertical line,
[38:46.820 --> 38:54.580]  all right, this vertical line here can be tilted by the equivalent R sub D.
[38:54.580 --> 39:04.900]  So, putting in a small resistance will tilt the transfer function, all right? It will tilt the transfer function so that it does a better
[39:04.900 --> 39:16.900]  approximation of the exponential characteristic of the real diode, okay? We can choose our V sub D to be a little bit less than 0.7 so that
[39:16.900 --> 39:35.380]  mass better, okay? So, this is the most complex of the models and it is the maybe the, you know,
[39:35.380 --> 39:49.540]  one with the best fidelity to a real-world exponential function starting at about 0.5 or 0.6 volts, okay? All right. So,
[39:49.540 --> 40:00.420]  the whole idea behind these three different models is dependent on the situation and how well you want to
[40:00.420 --> 40:08.420]  approximate the transfer function, you choose the model which best suits your requirement.
[40:08.420 --> 40:19.860]  So, the second, sometimes, you choose the signal levels. You choose the signal levels. You choose the signal
[40:19.860 --> 40:28.900]  you choose the signal levels, which makes it very, very easy to visualize what the resulting output of the
[40:28.900 --> 40:38.580]  diode will be, all right? If the signal levels are smaller and you want to take into consideration the fact that the
[40:38.580 --> 40:48.100]  diode really doesn't start conducting until about 0.6, 0.7 volts, then you might use model two. And of course,
[40:48.100 --> 40:55.300]  that requires a little bit more mental calculation because now you're taking it into consideration, ah,
[40:55.300 --> 41:00.580]  when it will reduce the output by about 0.7 volts, what will happen, what will happen, what will be the
[41:00.580 --> 41:08.180]  signal. And then, the most critical or the more critical situation where you really need to get a
[41:08.180 --> 41:15.540]  better approximation, you might use model three. And in this particular case, if you are using model three, then
[41:15.540 --> 41:24.580]  you would probably need to involve the use of a calculator, cannot be seen, because here you're including the
[41:24.580 --> 41:30.660]  resistance equivalent effect, which means that you'll need to be using a little bit of calculation.
[41:30.660 --> 41:44.980]  So, more complex model, more difficult, but better approximation, okay? And all of these are still
[41:44.980 --> 41:52.420]  highly simplified against the actual conduction curve, okay? All right. Now,
[41:56.180 --> 42:05.140]  sige. So, are there questions so far? So, let's try using this knowledge, okay? Let's try using this
[42:05.140 --> 42:10.820]  knowledge. Oh, ito na. Oh, so kung iniisip nyo, ay, ba't natin kailangan na? Eh, kasi para masagot yung mga quiz
[42:10.820 --> 42:18.980]  question. Okay. All right. So, let's try this. Let's try this. Let me just check the time. All right.
[42:18.980 --> 42:28.500]  Let's try this. So, here we have a voltage of 10 volts, E sub 1. All right. Going into a bunch of
[42:28.500 --> 42:38.820]  resistors and a single diode over here. And E sub 2 is negative 5 volts. You notice that we're starting
[42:38.820 --> 42:45.620]  with a fairly complex looking problem already, okay? What you're asked to do is to determine
[42:45.620 --> 43:01.780]  your I1, okay? I sub 1, V sub 1, V sub 2, and V sub 0 with the diode, all right, being modeled as an ideal
[43:01.780 --> 43:11.460]  diode with a 0.7 volt voltage source. Remember that model 2 basically looks like this, okay? So,
[43:11.460 --> 43:23.140]  ganito ang itsura ng model 2 natin. Okay. So, we have an ideal diode, all right, and a 0.7 volt voltage
[43:23.140 --> 43:36.340]  source, all right, for our model 2, okay? So, can anybody attempt to get the answer for this,
[43:36.340 --> 43:45.300]  all right? So, ano lang to, okay? Paano siya kinakalculate, all right? So, can anybody determine
[43:45.300 --> 43:58.580]  how this is calculated? Okay. You might want to use, okay?
[44:00.500 --> 44:06.100]  Teka, hindi ko dapat sasagutin kasi this is a mental challenge for you guys, okay? So, galing kayong
[44:06.100 --> 44:17.380]  Citron 1, okay? Galing kayong Citron 1. So, dapat kain yung gawin to, all right? You should be able to do this.
[44:18.100 --> 44:25.540]  It might look a little bit confusing because you might be more used to seeing the problem expressed
[44:25.540 --> 44:37.460]  this way. This is 10 volts, all right? Going into a 4.7 k resistor, going into our diode, okay? Going into our
[44:37.460 --> 44:46.980]  diode, and this is where your V sub O is taken, all right? And this other side of the diode goes into a
[44:46.980 --> 44:57.140]  resistor, which is 2.2 k, which goes into another voltage source, which is minus plus, like so, and
[44:57.140 --> 45:08.340]  we're just going to write this as 5 volts like this, okay? All right? All of this, all right, is
[45:08.980 --> 45:14.580]  probably, all right? There are two ways of interpreting this, but I'll just choose one so that it makes life
[45:14.580 --> 45:25.700]  easy, all right? All right? All right? All right? So, yan yung circuit natin. Yan yung circuit natin.
[45:25.940 --> 45:36.900]  Here's our V sub O, okay? And that is also, ano ba yung V sub 2 rito? Ah, V sub 2 is the voltage across
[45:36.900 --> 45:48.660]  resistor number 2. Okay? V sub 1 is the voltage across resistor number 1. Okay? All right?
[45:48.660 --> 46:01.940]  And V sub O is the voltage from the takeoff point, V sub O, basically to our reference ground. Okay? So,
[46:01.940 --> 46:12.020]  yun yung V sub O natin. From here to ground. Okay? All right? So, what are the answers? Ah, nasan ang I?
[46:13.300 --> 46:20.980]  Ayun. Okay? So, our I is the current that's flowing through. Well, it is just a single series circuit
[46:20.980 --> 46:27.940]  anyway, so there's only one current that's flowing. So, can anybody actually calculate...
[46:28.660 --> 46:38.340]  This is ridiculously simple actually. It's a very easy calculation. So, can anybody tell me what the
[46:40.100 --> 46:53.300]  values are for I1, V1, V2, and V sub O? Or is that zero? I'm not sure. Mukhang zero pala. Anyway, but yeah, what the hell?
[46:53.300 --> 47:04.900]  Anybody? Anybody? Pwede niyong ipasok dito sa chat natin. If you want to answer only one of the questions or
[47:04.900 --> 47:10.500]  whatever, but one point here is that this is a series circuit. So, if you manage to get one of the answers,
[47:10.500 --> 47:14.740]  that means that you basically can answer all of them actually. So, anybody?
[47:14.740 --> 47:19.460]  volunteers, please? Okay?
[47:20.660 --> 47:23.140]  Paano natin isosolve yan? Teka.
[47:24.260 --> 47:26.960]  I'm going to check, ha? Baka naman nandito yung sagot.
[47:31.460 --> 47:35.100]  Oh, he doesn't want to show the answer. Okay. What the hell? Oh, sige.
[47:36.820 --> 47:37.220]  Anyone?
[47:37.220 --> 47:42.340]  Man? Managano ba yun? So, ibig sabihin pala kung ginawa ko itong...
[47:42.340 --> 47:46.740]  If we were face to face and I were to give out a pop quiz right there and then,
[47:46.740 --> 47:50.340]  everybody will not be able to answer. O tinatamad lang ngayon?
[47:53.140 --> 47:55.780]  Okay. Meeting number two pala ito. Hello?
[47:58.740 --> 48:03.620]  Anybody? Can somebody form the KVL equation, please? Starting here.
[48:03.620 --> 48:11.220]  Let's start here. Let's form the KVL. All right? Let's form the KVL. We know that it's 10 volts.
[48:11.220 --> 48:16.340]  So, therefore, the current will probably be going in the clockwise direction. All right?
[48:18.340 --> 48:22.580]  And let's try to form the KVL equation. Anybody? What's the KVL equation?
[48:24.980 --> 48:26.900]  Unmute. Para marinig.
[48:29.540 --> 48:31.220]  Random person.
[48:31.220 --> 48:33.540]  Anybody?
[48:37.300 --> 48:37.700]  All right.
[48:42.980 --> 48:49.460]  Sino si Gian Bolado? Andito ka ba? Gian, you're listed here as a participant.
[48:52.340 --> 48:52.660]  Okay.
[48:54.980 --> 48:59.860]  Oh, somebody gave me a direct message. No, no, no, no, no. Can't be that large a value.
[49:00.820 --> 49:03.860]  Okay. Gabriel, can't be that big.
[49:07.780 --> 49:13.620]  Okay. Just look at the values here. You can tell, all right? It's kilo ohms, right?
[49:13.620 --> 49:19.380]  It's kilo ohms and you're working with very, very small voltages. So, you expect your answers to be
[49:19.380 --> 49:23.060]  milliampere. It can't be that big. All right? It cannot be that big.
[49:23.060 --> 49:28.020]  Alright.
[49:28.020 --> 49:28.020] 
[49:28.020 --> 49:28.020] 
[49:28.020 --> 49:28.020] 
[49:28.020 --> 49:28.020] 
[49:28.020 --> 49:28.020] 
[49:28.020 --> 49:28.020] 
[49:28.020 --> 49:28.020] 
[49:28.020 --> 49:28.020] 
[49:28.020 --> 49:28.020] 
[49:28.020 --> 49:28.020] 
[49:28.020 --> 49:28.020] 
[49:28.020 --> 49:28.020] 
[49:28.020 --> 49:28.020] 
[49:28.020 --> 49:28.020] 
[49:28.020 --> 49:28.020] 
[49:28.020 --> 49:28.020] 
[49:28.020 --> 49:28.020] 
[49:28.020 --> 49:28.020] 
[49:28.020 --> 49:28.020] 
[49:28.020 --> 49:28.020] 
[49:28.020 --> 49:28.020] 
[49:28.020 --> 49:28.020] 
[49:28.020 --> 49:28.020] 
[49:28.020 --> 49:28.020] 
[49:28.020 --> 49:28.020] 
[49:28.020 --> 49:28.020] 
[49:28.020 --> 49:28.020] 
[49:28.020 --> 49:28.020] 
[49:28.020 --> 49:28.020] 
[49:28.020 --> 49:28.020] 
[49:28.020 --> 49:28.020] 
[49:28.020 --> 49:28.020] 
[49:28.020 --> 49:28.020] 
[49:28.020 --> 49:28.960]  Alright.
[49:28.960 --> 49:30.000]  Alright.
[49:30.000 --> 49:30.000] 
[49:30.000 --> 49:30.000] 
[49:30.000 --> 49:30.000] 
[49:30.000 --> 49:30.000] 
[49:30.000 --> 49:30.000] 
[49:30.000 --> 49:30.000] 
[49:30.000 --> 49:30.000] 
[49:30.000 --> 49:30.000] 
[49:30.000 --> 49:30.000] 
[49:30.000 --> 49:30.000] 
[49:30.000 --> 49:30.000] 
[49:30.000 --> 49:30.000] 
[49:30.000 --> 49:30.000] 
[49:30.000 --> 49:30.000] 
[49:30.000 --> 49:30.000] 
[49:30.000 --> 49:30.000] 
[49:30.000 --> 49:30.000] 
[49:30.000 --> 49:30.000] 
[49:30.000 --> 49:30.000] 
[49:30.000 --> 49:30.000] 
[49:30.000 --> 49:30.000] 
[49:30.000 --> 49:30.000] 
[49:30.000 --> 49:30.000] 
[49:30.000 --> 49:34.020]  you might have to move the decimal place around a little bit.
[49:35.220 --> 49:36.260]  Try again.
[49:37.080 --> 49:37.240]  Sige.
[49:38.920 --> 49:40.080]  Was I calling a while ago?
[49:40.780 --> 49:41.100]  Wala.
[49:47.820 --> 49:49.100]  Ah, okay.
[49:50.260 --> 49:52.560]  2.128 milliampere.
[49:53.440 --> 49:54.140]  All right?
[49:54.840 --> 49:57.020]  Let's find out if you're right.
[49:57.500 --> 49:58.860]  I don't know what the answer is.
[49:58.860 --> 50:00.420]  Okay, I don't know what the answer is.
[50:00.840 --> 50:08.640]  But somebody here says, okay, by a direct message, it's 2.128 milliampere down.
[50:09.400 --> 50:10.360]  Okay, let's find out.
[50:10.620 --> 50:13.720]  Is I equal to 2.128 milliampere?
[50:14.340 --> 50:15.060]  Question mark.
[50:16.140 --> 50:16.520]  All right?
[50:18.260 --> 50:19.440]  So let's see.
[50:20.200 --> 50:25.260]  So if we follow this as a KVL, all right, follow this as a KVL,
[50:25.260 --> 50:33.440]  we'll get negative 10, all right, starting at dot.
[50:35.540 --> 50:36.540]  At the dot.
[50:37.840 --> 50:38.340]  Okay?
[50:40.240 --> 50:41.520]  Negative 10.
[50:42.180 --> 50:42.680]  All right?
[50:42.680 --> 50:52.420]  And because we only have one current, okay, we can say plus I times 4.7 K, all right?
[50:53.260 --> 51:03.180]  Going through the ideal diode, which has a voltage E drop of 0.7.
[51:03.180 --> 51:04.360]  Okay?
[51:05.000 --> 51:09.400]  So that is going to drop 0.7.
[51:11.240 --> 51:11.560]  Okay?
[51:15.800 --> 51:16.520]  Tama ba?
[51:17.020 --> 51:17.400]  All right?
[51:17.520 --> 51:18.460]  0.7 volts.
[51:19.620 --> 51:21.020]  Okay, this is your diode.
[51:21.020 --> 51:38.100]  So I times 2.2 kilo ohms, okay, minus 5 is equal to 0.
[51:38.500 --> 51:38.820]  Okay?
[51:39.080 --> 51:41.540]  So this is your KVL equation.
[51:41.680 --> 51:42.920]  Hopefully, I haven't made a mistake.
[51:44.000 --> 51:44.420]  All right?
[51:44.420 --> 51:50.920]  And so we can move our voltage constants over to the right side.
[51:52.260 --> 51:52.800]  Okay?
[51:53.340 --> 52:02.320]  And that is going to be equal to negative 14.3 volts.
[52:03.200 --> 52:03.580]  Tama ba?
[52:04.240 --> 52:08.080]  Minus 10 minus 5 is negative 15.
[52:08.240 --> 52:10.740]  Ah, positive pala because we move it to the other side.
[52:11.380 --> 52:11.660]  All right?
[52:11.660 --> 52:17.220]  So 15 minus 0.7 is 14.3.
[52:17.780 --> 52:18.200]  All right?
[52:18.340 --> 52:19.460]  We move it to the other side.
[52:19.560 --> 52:20.980]  It becomes a positive value.
[52:21.720 --> 52:33.300]  And then what's left on the left side is going to be I times 4.7 K plus 2.2 K.
[52:33.840 --> 52:34.200]  All right?
[52:34.200 --> 52:44.840]  And of course, you can now calculate this and say that this is 14.3 volts divided by 6.9 kilo ohms.
[52:45.540 --> 52:45.940]  All right?
[52:46.000 --> 52:48.460]  So there's your answer for I.
[52:49.580 --> 52:49.960]  All right?
[52:50.080 --> 52:52.500]  7, 8, 9, 4, 5, 6.
[52:52.980 --> 52:53.300]  All right?
[52:53.380 --> 52:58.620]  14.3 over 6.9 kilo ohms.
[52:59.300 --> 52:59.600]  Okay?
[52:59.920 --> 53:00.320]  All right.
[53:00.320 --> 53:06.280]  So let's find out what the resulting current is.
[53:06.540 --> 53:06.800]  All right?
[53:06.920 --> 53:07.180]  Sorry.
[53:07.640 --> 53:08.960]  I shouldn't have boxed that yet.
[53:09.080 --> 53:16.380]  14.3 divided by 6,900 is 2.0.
[53:16.880 --> 53:18.200]  Bakit di ba yung lumabas?
[53:18.200 --> 53:18.800]  Okay?
[53:19.200 --> 53:23.800]  2.072.
[53:24.240 --> 53:26.960]  How many decimal places do we need anyway?
[53:27.500 --> 53:27.760]  All right?
[53:27.940 --> 53:31.520]  7 to 5 milliampere.
[53:31.960 --> 53:32.260]  Okay?
[53:32.380 --> 53:33.320]  So ito yung sagot.
[53:33.780 --> 53:35.440]  Round it off as required.
[53:36.340 --> 53:36.640]  All right?
[53:36.720 --> 53:36.860]  Yeah.
[53:36.920 --> 53:37.500]  That's correct.
[53:37.960 --> 53:38.140]  Okay?
[53:38.700 --> 53:42.200]  2.0725 milliampere.
[53:42.200 --> 53:50.240]  Once you have this, this is just a question of substituting the current to get the different voltages.
[53:50.620 --> 53:57.460]  So as a result of that, V1 is equal to 2.0725 milliampere.
[53:57.800 --> 53:58.220]  All right?
[53:58.600 --> 54:00.360]  Times 4,700.
[54:01.740 --> 54:05.360]  This gives you 9.74 volts.
[54:07.840 --> 54:08.440]  Okay?
[54:08.440 --> 54:14.340]  We can also calculate V2.
[54:14.880 --> 54:15.280]  All right?
[54:15.380 --> 54:22.140]  V2 is 2,200 times 2.0725.
[54:25.020 --> 54:32.400]  And that gives you 4.55 or 5.6.
[54:32.840 --> 54:33.220]  All right?
[54:33.720 --> 54:34.460]  Volts.
[54:35.360 --> 54:35.940]  Okie doks.
[54:36.540 --> 54:36.940]  All right?
[54:36.940 --> 54:39.780]  So we now have our V1.
[54:39.880 --> 54:40.660]  We have our V2.
[54:40.800 --> 54:41.620]  We have our I.
[54:41.780 --> 54:43.120]  Ano pa ba ang kailangan natin?
[54:43.500 --> 54:46.940]  The only thing that we need basically now is V sub 0.
[54:47.700 --> 54:51.120]  And what is V sub 0 going to be?
[54:51.700 --> 54:51.960]  Okay?
[54:52.060 --> 54:56.720]  So some people may find this or get the wrong answer for V sub 0.
[54:57.360 --> 54:58.020]  All right?
[54:58.020 --> 55:03.300]  You'll notice that we can substitute 4.56 volts here.
[55:03.800 --> 55:04.440]  All right?
[55:04.580 --> 55:07.140]  We have 4.56 volts.
[55:07.140 --> 55:16.000]  Therefore, V sub 0 is basically equal to this plus this.
[55:16.740 --> 55:16.960]  All right?
[55:16.960 --> 55:19.980]  You'll notice that they're in opposing directions.
[55:20.560 --> 55:22.340]  They're on opposing directions.
[55:22.340 --> 55:27.440]  And so we can say that V sub 0, if you want to do a KVL on that, that's fine.
[55:27.840 --> 55:28.880]  But there's no need to.
[55:28.960 --> 55:32.280]  You can see that the voltage is from here down to here.
[55:32.280 --> 55:37.280]  So I have negative 5 plus 4.56.
[55:37.280 --> 55:38.720]  All right?
[55:38.720 --> 55:50.540]  So the result is a slightly negative voltage of 0.44 minus 0.44 volts.
[55:51.180 --> 55:51.300]  Okay?
[55:51.400 --> 55:54.860]  So ito yung mga sagot dito sa problem na to.
[55:54.980 --> 55:56.160]  Sana hindi ako nagkamali.
[55:56.840 --> 55:57.220]  All right?
[55:57.520 --> 55:57.800]  Okay.
[55:58.340 --> 55:59.360]  Are there questions?
[56:00.440 --> 56:00.620]  Okay?
[56:00.760 --> 56:01.560]  Are there questions?
[56:01.880 --> 56:02.200]  Hang on.
[56:02.240 --> 56:05.560]  Let me just fix the air conditioner swing here.
[56:07.280 --> 56:08.140]  It's warm.
[56:08.140 --> 56:08.580]  Okay?
[56:09.000 --> 56:09.920]  Are there questions?
[56:10.520 --> 56:10.720]  Okay.
[56:10.720 --> 56:11.360]  Okay, Payo?
[56:14.640 --> 56:15.160]  Yes.
[56:16.860 --> 56:17.260]  Diane?
[56:17.820 --> 56:26.260]  Sir, when we're given a question like this, do we always assume po na silicon yung diode or give it a look?
[56:27.200 --> 56:27.760]  Okay.
[56:28.040 --> 56:29.060]  That's a good question.
[56:29.480 --> 56:30.860]  No, don't do that.
[56:31.000 --> 56:34.940]  In this particular case, it's clearly stated that it's a silicon diode.
[56:34.940 --> 56:38.260]  So please keep that in mind.
[56:38.260 --> 56:38.860]  All right?
[56:38.860 --> 56:51.700]  Keep that in mind that dependent on the problem, there should be some statement or some piece of information that tells you what you need to use as a substitute.
[56:52.180 --> 56:52.280]  Okay?
[56:52.280 --> 56:56.180]  Maybe there's going to be an overall statement.
[56:56.380 --> 56:59.320]  Assume that all diodes are silicon or something like that.
[57:00.120 --> 57:00.340]  Okay?
[57:00.340 --> 57:00.420]  Okay?
[57:00.420 --> 57:00.920]  Okay.
[57:00.920 --> 57:00.920] 
[57:00.920 --> 57:00.920] 
[57:00.920 --> 57:05.720]  Other questions?
[57:05.720 --> 57:15.760]  If it's a germanium diode, then, well, typically the assumed voltage is about 0.3.
[57:16.760 --> 57:19.900]  Depends on, there's high variability.
[57:19.900 --> 57:21.900]  It's 0.3 or 0.4.
[57:22.540 --> 57:26.900]  For silicon, it's 0.6 or 0.7 as the usual voltage.
[57:26.900 --> 57:27.460]  Okay?
[57:27.460 --> 57:28.140]  Okay?
[57:31.300 --> 57:31.960]  All right?
[57:38.740 --> 57:39.260]  Okay?
[57:39.500 --> 57:40.100]  All right.
[57:41.220 --> 57:41.940]  See you again.
[57:41.940 --> 57:56.720]  Oh, by the way, one thing that I'd like to clarify now, when we talk about V sub D, all right, don't assume that V sub D refers to the forward voltage of the diode.
[57:56.720 --> 58:03.220]  V sub D, looking at the letters here, is simply the voltage across the diode.
[58:04.020 --> 58:04.140]  Okay?
[58:04.140 --> 58:06.380]  It's just the voltage across the diode.
[58:06.560 --> 58:14.560]  So, V sub D could be a very large value if the voltage across the diode is reverse biasing the diode.
[58:14.740 --> 58:16.200]  It could be negative 10 volts.
[58:16.320 --> 58:18.000]  It could be minus 5 volts.
[58:18.320 --> 58:18.500]  All right?
[58:18.540 --> 58:20.040]  It could be minus 20 volts.
[58:21.000 --> 58:21.420]  Okay, dogs?
[58:21.420 --> 58:32.600]  So, the real voltage, yeah, this is sad.
[58:32.860 --> 58:32.940]  Okay?
[58:33.020 --> 58:37.460]  This one here, this is not really a very good way of representing it.
[58:38.680 --> 58:50.400]  Most of the time, we will say, or it's usually approximate, or the forward voltage of the diode is usually defined.
[58:50.400 --> 58:53.320]  Using these letters, V sub F.
[58:54.100 --> 58:54.240]  All right?
[58:54.300 --> 58:56.800]  But anyway, don't worry about it for now.
[58:57.220 --> 58:57.440]  All right?
[58:57.500 --> 58:59.020]  Don't worry about it for now.
[58:59.380 --> 59:09.420]  Because we'll try to be a little bit more clear when defining and giving a problem, for example, in the quiz.
[59:10.060 --> 59:18.740]  It would be more explicitly stated as a, assume a forward conduction voltage of blah, blah.
[59:19.340 --> 59:19.600]  Right?
[59:19.600 --> 59:27.060]  Or assume that it is a germanium, blah, blah, operating at this point.
[59:27.500 --> 59:28.160]  Para alam nyo.
[59:28.580 --> 59:28.800]  Okay?
[59:30.000 --> 59:30.260]  Sige.
[59:31.160 --> 59:32.200]  Other questions?
[59:32.200 --> 59:32.200] 
[59:39.080 --> 59:40.200]  Other questions?
[59:40.380 --> 59:40.940]  Okay tayo?
[59:41.260 --> 59:41.500]  All right?
[59:41.580 --> 59:43.280]  So, this one is easy.
[59:43.280 --> 59:44.400]  All right?
[59:44.400 --> 59:48.380]  Going forward further to load line analysis.
[59:48.900 --> 59:49.960]  Just a quick check on time.
[59:50.060 --> 59:50.840]  30 more minutes.
[59:51.480 --> 59:51.700]  All right?
[59:53.060 --> 01:00:00.740]  Load lines basically determine the operating point of circuit.
[01:00:00.740 --> 01:00:01.360]  circuit.
[01:00:01.360 --> 01:00:05.740]  We will be using this term again and again.
[01:00:07.200 --> 01:00:11.000]  Starting here and going forward even with transistors.
[01:00:11.000 --> 01:00:11.880]  All right?
[01:00:11.880 --> 01:00:22.800]  So, the load of a circuit, by definition, determines the region of operation of the components in the circuit.
[01:00:22.800 --> 01:00:28.080]  Usually, more referring to the semiconductors in the circuit.
[01:00:28.080 --> 01:00:28.580]  Okay?
[01:00:28.580 --> 01:00:48.980]  So, in this particular case, since we're talking only of having knowledge of a single semiconductor type, which is diode, it would be referring to the load line would be associated with the operating conditions of the diode in a circuit.
[01:00:48.980 --> 01:00:49.980]  Okay?
[01:00:49.980 --> 01:00:50.420]  Okay?
[01:00:51.540 --> 01:00:59.560]  There could, of course, be more than one diode in the circuit that are being presented, and each one would have a particular load line associated with it.
[01:01:00.040 --> 01:01:00.540]  Okay?
[01:01:00.540 --> 01:01:03.460]  So, what does a load line do?
[01:01:03.460 --> 01:01:20.480]  A load line or load line analysis is a graphical method of determining the operating points of the diode in the application or in the circuit.
[01:01:21.400 --> 01:01:21.660]  Okay?
[01:01:21.700 --> 01:01:32.340]  It's a graphical method, very much essentially as this, where you're determining intersections and drawing lines and stuff like that.
[01:01:32.340 --> 01:01:33.100]  Okay?
[01:01:33.460 --> 01:01:33.960]  Okay?
[01:01:34.560 --> 01:01:37.520]  So, how do we use it?
[01:01:37.620 --> 01:01:38.800]  Now, why is it being introduced?
[01:01:38.980 --> 01:01:46.680]  Well, because load line analysis, being graphical in nature, is easy to work with.
[01:01:47.040 --> 01:01:47.260]  All right?
[01:01:47.300 --> 01:01:48.380]  It's easy to use.
[01:01:49.160 --> 01:01:49.480]  All right?
[01:01:49.680 --> 01:01:51.100]  That's why it's being introduced.
[01:01:51.760 --> 01:01:53.140]  So, what's the method?
[01:01:53.140 --> 01:01:53.700]  Okay?
[01:01:53.700 --> 01:01:54.320]  Okay?
[01:01:54.320 --> 01:02:08.400]  So, a line is drawn against the characteristic of the device using the maximum voltage and maximum current points on the x and y axis.
[01:02:08.400 --> 01:02:09.240]  All right?
[01:02:09.240 --> 01:02:09.580]  Okay?
[01:02:09.580 --> 01:02:21.740]  So, the intersection point gives the operating point of the diode itself.
[01:02:21.740 --> 01:02:22.340]  Okay?
[01:02:22.340 --> 01:02:26.960]  Now, this sounds very, very up in the air, if you like.
[01:02:26.960 --> 01:02:27.560]  Okay?
[01:02:27.560 --> 01:02:29.760]  So, let's look at a particular example.
[01:02:31.260 --> 01:02:31.480]  Okay?
[01:02:31.480 --> 01:02:32.480]  Okay?
[01:02:32.480 --> 01:02:38.520]  So, here is an example of a load line analysis.
[01:02:38.720 --> 01:02:42.380]  So, right now, of course, we thought you would understand what the hell it is.
[01:02:42.460 --> 01:02:43.980]  But here's the idea.
[01:02:43.980 --> 01:02:56.020]  If you have a circuit, and if you have, well, and in this particular case, we are interested in seeing what the diode operating point is.
[01:02:56.240 --> 01:03:01.880]  So, you have to have a diode conduction curve characteristic.
[01:03:02.480 --> 01:03:04.000]  So, I have the circuit.
[01:03:04.320 --> 01:03:06.720]  I have the parameters of the circuit.
[01:03:07.000 --> 01:03:07.880]  Here's a voltage.
[01:03:08.620 --> 01:03:10.800]  Here is the resistance value.
[01:03:11.400 --> 01:03:12.440]  Here is the diode.
[01:03:12.440 --> 01:03:16.120]  And the diode's characteristic curve looks like this.
[01:03:16.800 --> 01:03:17.060]  All right?
[01:03:18.220 --> 01:03:22.060]  And the question might be, what's the operating point of the diode?
[01:03:23.100 --> 01:03:23.500]  Okay?
[01:03:23.560 --> 01:03:25.820]  What would be the operating point of the diode?
[01:03:26.320 --> 01:03:29.960]  Notice that this is not particularly easy to answer.
[01:03:31.160 --> 01:03:31.580]  All right?
[01:03:32.520 --> 01:03:35.600]  If you want to get a very exact answer.
[01:03:36.800 --> 01:03:42.200]  So, we have model 1, model 2, and model 3.
[01:03:42.440 --> 01:03:45.320]  Which are all approximations.
[01:03:46.220 --> 01:03:57.520]  We can get a clearer, not clearer, but we can get a more exact answer if we actually have the conduction curve of the diode.
[01:03:57.520 --> 01:03:58.540]  Okay?
[01:03:58.540 --> 01:03:58.600]  Okay?
[01:03:59.560 --> 01:04:10.900]  But you'll notice that if you have the conduction curve of the diode, it is difficult for you to find out what the exact operating point is.
[01:04:10.900 --> 01:04:17.100]  because there is a forward conduction voltage for the diode
[01:04:17.100 --> 01:04:20.680]  which varies with the current.
[01:04:21.680 --> 01:04:23.580]  Sorry, this doesn't look very, very vertical.
[01:04:24.480 --> 01:04:27.860]  So this is going to give you a slight variation
[01:04:27.860 --> 01:04:30.440]  in the forward voltage of the diode.
[01:04:30.440 --> 01:04:34.060]  And you'll notice that if you attempt to do a KVL
[01:04:34.060 --> 01:04:35.900]  of this particular circuit,
[01:04:36.280 --> 01:04:38.960]  I'll just redraw it so that it's larger.
[01:04:38.960 --> 01:04:42.700]  Okay, here's the diode and here's the resistor.
[01:04:43.800 --> 01:04:46.980]  Okay, let's say I have 10 volts here
[01:04:46.980 --> 01:04:50.300]  and this is a 1 kilo ohm resistor
[01:04:50.300 --> 01:04:54.360]  and I have a silicon diode here, all right,
[01:04:54.860 --> 01:04:58.780]  for which we might know the exact characteristic.
[01:04:59.440 --> 01:05:02.780]  We still cannot easily determine something as simple
[01:05:02.780 --> 01:05:04.840]  as how much current is flowing.
[01:05:06.140 --> 01:05:08.520]  Okay, so for example, yan lang yung problem.
[01:05:09.000 --> 01:05:09.880]  Determine I.
[01:05:10.780 --> 01:05:12.220]  Okay, how much current is flowing?
[01:05:12.220 --> 01:05:13.840]  It should be a very easy thing
[01:05:13.840 --> 01:05:16.680]  because it's a single KVL series loop, right?
[01:05:17.020 --> 01:05:18.220]  You just write it out.
[01:05:18.420 --> 01:05:19.480]  But here's the problem.
[01:05:19.920 --> 01:05:22.200]  When you try to write it out,
[01:05:24.040 --> 01:05:24.360]  okay,
[01:05:24.940 --> 01:05:28.220]  you'll find that you're stuck with an unknown value
[01:05:28.220 --> 01:05:35.360]  because you would write it as minus 10 plus V sub F,
[01:05:35.460 --> 01:05:39.140]  which is the diode forward voltage, all right,
[01:05:40.240 --> 01:05:48.600]  plus I times 1K is equal to zero.
[01:05:48.600 --> 01:05:52.300]  Okay, so ayan na yung I mo.
[01:05:53.020 --> 01:05:54.960]  Kaya mo na dapat isolve yan
[01:05:54.960 --> 01:05:57.600]  except for the fact that you'll find that
[01:05:57.600 --> 01:06:02.540]  I is equal to 10 minus V sub F
[01:06:02.540 --> 01:06:05.980]  divided by 1 kilo ohm.
[01:06:06.980 --> 01:06:09.360]  Okay, so if you look at this equation,
