[00:00.000 --> 00:06.000]  We're in here.
[31:38.880 --> 31:40.300]  But let's check first.
[31:40.540 --> 31:42.100]  So, let's run the simulation.
[31:42.800 --> 31:51.860]  And let's find out where the bias, Q point, what is the Q point of our transistor.
[31:52.580 --> 31:52.780]  Okay?
[31:52.860 --> 31:55.880]  So, we'll have to put in a simulation.
[31:56.520 --> 31:56.940]  All right?
[31:56.940 --> 31:59.880]  And say that we want an operating point.
[32:00.880 --> 32:03.560]  We just run our simulation here.
[32:04.300 --> 32:13.860]  And the very, very quick look through it shows that we're running about 8 mA through our collector.
[32:14.960 --> 32:15.320]  All right?
[32:15.380 --> 32:18.480]  That's 8 mA here, as you can see.
[32:18.480 --> 32:26.460]  And it doesn't exactly tell us the voltages from collector to emitter, unfortunately.
[32:26.880 --> 32:34.800]  But I think we can see what that is by just putting the cursor right there at that particular node.
[32:35.800 --> 32:36.120]  Okay?
[32:36.180 --> 32:39.520]  And we can see that the collector is at 13 volts.
[32:40.020 --> 32:44.620]  And the emitter should be at about 1.3 volts.
[32:44.620 --> 32:45.420]  All right?
[32:45.740 --> 32:58.480]  13 volts and 1.3 with the 20 volt supply puts our transistor at, you know, a realistic center, more or less, of the whole possible voltage swing.
[32:58.960 --> 33:06.740]  And so, that means that the thing is actually biased pretty much all right in the active region.
[33:07.220 --> 33:07.500]  Okay?
[33:07.700 --> 33:09.440]  So, that satisfies that.
[33:09.440 --> 33:16.120]  And so, all right, let's go ahead and put in our signal.
[33:17.280 --> 33:17.360]  Okay?
[33:17.980 --> 33:24.940]  And in order to do that, of course, we would like to make a connection like so.
[33:25.000 --> 33:25.340]  Hang on.
[33:26.700 --> 33:28.060]  With a capacitor.
[33:28.400 --> 33:37.160]  Because if not, what will happen is that the bias that we have so carefully set up, all right, will go nuts.
[33:37.160 --> 33:39.760]  We don't need the output capacitor, actually.
[33:40.620 --> 33:44.880]  But if I put it, well, that might be better as an illustration.
[33:45.320 --> 33:49.780]  So, let me just complete this so that we can see it.
[33:50.200 --> 34:01.500]  I'm not going to put the emitter, that third capacitor, which is on the, what's this, emitter resistor.
[34:01.500 --> 34:01.980]  Okay?
[34:01.980 --> 34:03.540]  I'm not going to put that in.
[34:03.880 --> 34:07.120]  That's not needed for this particular illustration.
[34:12.220 --> 34:16.900]  And let me complete the connections here.
[34:17.400 --> 34:22.200]  This is a loading resistor just so that our capacitor settles down.
[34:22.200 --> 34:25.320]  I'm going to make this a 10 microfarad capacitor.
[34:26.300 --> 34:30.860]  And this one also is going to be a 10 microfarad capacitor.
[34:31.720 --> 34:33.120]  Where did it go?
[34:33.580 --> 34:33.780]  All right?
[34:34.240 --> 34:39.380]  This is going to be a sinusoidal signal.
[34:41.340 --> 34:43.100]  No offset voltage.
[34:43.340 --> 34:43.720]  Zero.
[34:44.040 --> 34:45.760]  The amplitude will be one volt.
[34:48.920 --> 34:49.520]  No.
[34:49.520 --> 34:55.300]  The amplitude will be 0.2 volts.
[34:55.860 --> 34:56.040]  Okay?
[34:56.520 --> 34:58.920]  Frequency is one kilohertz.
[34:59.920 --> 35:01.620]  And that's there.
[35:03.180 --> 35:12.880]  And we are going to put in a load here of, say, for example, a 100K just so that it settles down.
[35:12.880 --> 35:19.300]  And we are going to edit the simulation command.
[35:19.560 --> 35:20.060]  All right?
[35:20.820 --> 35:23.620]  So that it now does a transient analysis.
[35:23.920 --> 35:26.640]  Our frequency is one kilohertz.
[35:27.100 --> 35:33.600]  We want to put in a couple of cycles there to allow for a certain amount of settling time.
[35:33.600 --> 35:44.800]  So we'll allow the circuit to sort of settle first because we've got capacitors that will charge of this charge, particularly the output capacitor.
[35:45.220 --> 35:50.880]  And with an R5 of 100K ohms, that's going to take quite a bit of time to settle down.
[35:50.880 --> 35:58.780]  So we'll start looking at it after, say, for example, 500 milliseconds.
[35:58.780 --> 36:05.000]  And we'll look at about 10 cycles of that.
[36:06.940 --> 36:12.680]  Therefore, 510 milliseconds of actual output.
[36:12.880 --> 36:14.280]  And that's what we're going to put here.
[36:15.100 --> 36:15.280]  Okay?
[36:15.480 --> 36:16.440]  So this is what I'm saying.
[36:16.500 --> 36:18.020]  You have to sort of think about it.
[36:18.120 --> 36:21.420]  And for all you know, my brain might not be functioning properly.
[36:21.420 --> 36:25.900]  And so these parameters may not be particularly good either.
[36:26.860 --> 36:29.740]  Let me just get this silly thing out of the way.
[36:32.300 --> 36:32.900]  Okay.
[36:33.400 --> 36:33.700]  All right.
[36:33.780 --> 36:37.340]  And so our simulation's been set up here.
[36:37.660 --> 36:39.100]  Let's see if it works.
[36:39.520 --> 36:39.800]  All right.
[36:39.860 --> 36:42.920]  Let's do a transient run.
[36:43.280 --> 36:43.500]  Yeah.
[36:43.600 --> 36:45.080]  Hopefully everybody can see this.
[36:45.180 --> 36:45.420]  Right?
[36:45.700 --> 36:46.020]  Okay.
[36:46.020 --> 36:49.520]  So here is our input signal.
[36:51.140 --> 36:53.540]  0.2 volts, as I put in.
[36:53.700 --> 36:56.700]  So it'll go plus 0.2, minus 0.2.
[36:56.860 --> 37:02.040]  For a 0.4 volt peak-to-peak signal, we should be seeing 10 cycles here.
[37:02.420 --> 37:08.440]  Because this is a 500 to 510 millisecond simulation.
[37:08.700 --> 37:10.300]  So that's 10 milliseconds in between.
[37:10.400 --> 37:12.520]  That gives you exactly 10 cycles.
[37:12.660 --> 37:14.540]  And so that's exactly as expected there.
[37:14.540 --> 37:16.360]  So that's our input signal.
[37:17.140 --> 37:23.960]  And of course, the piece of interest here is, does the circuit amplify?
[37:24.440 --> 37:26.820]  And so let's go have a look at the output.
[37:27.400 --> 37:28.940]  You see where I'm probing it here.
[37:29.620 --> 37:35.180]  And the white trace is the output signal.
[37:35.180 --> 37:43.400]  So you've seen that LTSpice, obviously, the simulation graphical output automatically scales the thing.
[37:43.620 --> 37:54.520]  And we can now see that the output is doing a 1.2 volt up and 1.2 volt down, plus minus 1.2 volts.
[37:54.520 --> 38:00.520]  So this gives us a 2.4 volt peak-to-peak signal.
[38:01.260 --> 38:01.500]  All right?
[38:02.000 --> 38:06.720]  That is a 2.4 volt peak-to-peak signal.
[38:06.880 --> 38:08.680]  So let me just write that down for you.
[38:09.180 --> 38:09.520]  All right?
[38:09.600 --> 38:10.700]  Let's write that down.
[38:10.900 --> 38:11.180]  All right?
[38:11.180 --> 38:26.260]  So Vout is equal to 2.4 volts peak-to-peak, whereas our Vin is basically equal to 0.4 volts peak-to-peak.
[38:26.640 --> 38:27.020]  All right?
[38:27.780 --> 38:29.080]  Everybody following?
[38:29.500 --> 38:29.840]  All right?
[38:29.840 --> 38:33.420]  And so we now can calculate our voltage gain.
[38:34.000 --> 38:34.400]  All right?
[38:34.500 --> 38:35.680]  Our voltage gain.
[38:36.340 --> 38:36.700]  All right?
[38:37.140 --> 38:43.100]  Voltage amplification factor is 2.4 over 0.4.
[38:43.860 --> 38:54.580]  And according to my very beautiful calculator here, that is a voltage gain of about 6.
[38:54.920 --> 38:55.260]  All right?
[38:55.260 --> 39:02.560]  So the amplification factor, as you can see here, is about 6 times.
[39:03.000 --> 39:03.200]  All right?
[39:03.260 --> 39:04.180]  About 6 times.
[39:04.240 --> 39:07.560]  It's a very, very modest amplification.
[39:07.900 --> 39:09.520]  It's a very modest amplification.
[39:10.380 --> 39:21.080]  And that's simply because I did not ask the transistor to actually try to maximize its possible amplification factor.
[39:21.240 --> 39:23.620]  I wanted to keep the thing as linear as possible.
[39:23.620 --> 39:28.740]  So we can see here that that's a, you know, it works.
[39:29.180 --> 39:31.100]  And the output, all right?
[39:31.220 --> 39:35.160]  The output, let's try to have a better look at this if you like.
[39:35.580 --> 39:35.880]  All right?
[39:36.200 --> 39:36.680]  Oops.
[39:38.220 --> 39:38.580]  All right?
[39:39.040 --> 39:43.780]  And let's magnify this so that you can see a little bit better.
[39:44.280 --> 39:44.560]  All right?
[39:44.560 --> 39:52.160]  And you can see that as far as the signal is concerned, we have a very nice-looking output.
[39:52.480 --> 39:55.060]  It looks quite sinusoidal.
[39:55.320 --> 39:55.540]  All right?
[39:55.580 --> 39:57.060]  It looks quite sinusoidal.
[39:57.560 --> 40:03.100]  Any distortions are not that apparent, at least visually speaking.
[40:03.860 --> 40:04.220]  All right?
[40:04.220 --> 40:13.940]  And that's exactly what we expect the transistor circuit to be doing, especially under these conditions where the output swing is fairly small.
[40:13.940 --> 40:15.020]  All right?
[40:15.020 --> 40:25.680]  The output swing is fairly small so that it is remaining in the most linear possible amplification region of our circuit.
[40:26.540 --> 40:26.800]  Okay?
[40:26.800 --> 40:38.320]  You'll also notice that, of course, we have a symmetrical swing going from, you know, negative 1.2 all the way to positive 1.2, which means that it's centered at zero.
[40:38.700 --> 40:39.260]  All right?
[40:39.300 --> 40:40.700]  It's centered right at zero.
[40:40.840 --> 40:43.820]  And that's care of the output coupling capacitor.
[40:44.440 --> 40:46.120]  So this is a different story.
[40:46.120 --> 40:53.120]  If I were to change this, for example, all right, let's remove the input signal.
[40:54.100 --> 40:55.620]  We're only looking at the output now.
[40:56.180 --> 40:56.380]  Okay?
[40:56.740 --> 41:01.420]  Let's look at the signal before the capacitor.
[41:01.840 --> 41:02.020]  Okay?
[41:02.080 --> 41:06.500]  So before the capacitor, this is what the signal looks like.
[41:06.620 --> 41:08.760]  So you see that it's all the way up there.
[41:09.760 --> 41:10.260]  Okay?
[41:10.300 --> 41:11.440]  It's all the way up there.
[41:13.520 --> 41:14.040]  Okay?
[41:14.040 --> 41:19.280]  And again, the scaling here is pretty obvious.
[41:19.520 --> 41:28.040]  But you'll notice that our signal, in fact, is without that capacitor, right?
[41:28.160 --> 41:33.620]  Without that capacitor, we can see that the signal is going basically up here.
[41:33.760 --> 41:35.200]  It's supposed to be centered.
[41:35.440 --> 41:42.100]  Remember where our collector voltage was when we did our DC simulation?
[41:42.100 --> 41:44.860]  It was at about 13 volts.
[41:45.540 --> 41:49.660]  So that 13 volts, all right, is the coefficient point.
[41:50.260 --> 42:04.440]  And when we put an input signal, the collector voltage goes down and up, all right, by that same amplitude of up by 1.2 and down by negative 1.2.
[42:04.440 --> 42:14.200]  So to make that clear, let's try removing this capacitor output.
[42:14.980 --> 42:21.080]  Let's just concentrate on what the collector voltage actually is.
[42:21.500 --> 42:21.760]  All right?
[42:22.200 --> 42:30.720]  And so you can see over here, all right, you can see over here that collector voltage-wise, let me just drag this out of the way for heaven's sake.
[42:32.080 --> 42:33.040]  Go away, go away.
[42:33.040 --> 42:33.920]  All right, there we go.
[42:33.920 --> 42:47.600]  We can see that as we had simulated earlier, the coefficient point is at approximately close to about 13.2 volts maybe at the center.
[42:47.600 --> 43:04.480]  And then we have it going upwards by 1.2 volts, reaching about 14.3 volts, and going downwards by 1.2 volts, reaching about 11.9 volts or so.
[43:04.480 --> 43:11.360]  So of course, we can get the actual values if we place a cursor over there, all right?
[43:11.360 --> 43:15.160]  We click on it, and we can move this thing around.
[43:15.540 --> 43:15.740]  Oops.
[43:16.440 --> 43:18.080]  Where's the value?
[43:19.040 --> 43:19.200]  Okay.
[43:19.360 --> 43:20.360]  Nandito sa kabila.
[43:21.040 --> 43:22.500]  It's on the other screen.
[43:22.500 --> 43:23.060]  Okay.
[43:23.060 --> 43:31.980]  And you can see that the upward peak is at 14.3 and the negative peak is at 11.95.
[43:32.920 --> 43:33.240]  All right?
[43:33.280 --> 43:34.400]  So approximately there.
[43:34.600 --> 43:42.860]  And that puts our center voltage, you know, somewhere around, probably somewhere around there.
[43:43.380 --> 43:43.540]  Okay.
[43:44.540 --> 43:44.940]  Okay.
[43:44.940 --> 43:46.760]  13.1, 13.2 volts.
[43:46.760 --> 43:51.040]  So there's your transistor amplifier.
[43:51.640 --> 43:51.700]  Okay.
[43:51.700 --> 43:54.160]  That's your transistor amplifier.
[43:54.780 --> 43:59.060]  Now, if you're thinking that, well, the gain looks really small.
[43:59.180 --> 44:00.580]  It's only a time six.
[44:00.960 --> 44:10.820]  For most purposes, all right, you are really not looking at amplifying the signal by a very, very large degree.
[44:10.820 --> 44:34.260]  But just to prove to you that this is because of the circuit choice, the way that the thing has been, you know, the values that were chosen and the particular configuration, let me just clear this up.
[44:34.400 --> 44:37.040]  Let's go and modify the circuit.
[44:37.500 --> 44:37.820]  All right?
[44:37.820 --> 44:40.140]  Let's go and modify the circuit a little bit.
[44:40.940 --> 44:46.820]  And in this case, I am going to be adding, all right, that capacitor here.
[44:49.800 --> 44:50.580]  All right?
[44:52.680 --> 44:56.800]  As shown in the original slide.
[44:57.260 --> 45:01.960]  And in this particular case, I am putting in a 100 microcarad capacitor.
[45:02.460 --> 45:06.120]  Don't ask me why those values are such, all right?
[45:06.120 --> 45:16.580]  It's my brain automatically scaling based on what I know about the circuit and the values that have been chosen there.
[45:16.580 --> 45:28.600]  So, what's going to happen with this, essentially, is that you're going to see that the voltage gain of the circuit will shoot up by a humongous factor.
[45:29.340 --> 45:29.580]  Okay?
[45:29.660 --> 45:32.120]  By a very, very, very, very large factor.
[45:32.120 --> 45:50.120]  So much so that with an input signal of 0.2 volts, all right, peak to peak, the output will actually bang itself to its limit and produce a very, very distorted looking signal.
[45:51.400 --> 45:52.020]  All right?
[45:52.020 --> 45:54.000]  So, let's run the simulation.
[45:54.600 --> 45:59.460]  And I've already told you to expect that the output is going to look horrible.
[46:00.440 --> 46:00.720]  All right?
[46:01.000 --> 46:04.660]  So, here again is our input signal.
[46:04.960 --> 46:08.960]  It is still a perfect sine wave because after all, it's a simulation.
[46:09.760 --> 46:12.180]  Let's look at the output signal now.
[46:12.740 --> 46:12.900]  Okay?
[46:13.100 --> 46:13.360]  Ito.
[46:14.080 --> 46:16.820]  Ano yung itsura ng output signal natin?
[46:17.380 --> 46:17.740]  Ayan.
[46:18.760 --> 46:19.260]  Okay?
[46:19.260 --> 46:25.000]  So, as you can see, the output signal is really terrible.
[46:25.520 --> 46:25.760]  All right?
[46:25.840 --> 46:26.900]  It's really terrible.
[46:27.200 --> 46:29.100]  It is banged all the way.
[46:29.740 --> 46:31.640]  This is what happens, essentially.
[46:31.960 --> 46:40.420]  You don't even see that it has any semblance of a sinusoidal waveform anymore because we have overdriven.
[46:40.420 --> 46:43.980]  The gain of the transistor is so high at this point.
[46:43.980 --> 46:53.160]  Its voltage amplification factor is so high that that input signal is driving the output all the way up to saturation.
[46:54.480 --> 46:54.560]  Okay?
[46:55.080 --> 47:00.780]  It's driving the output all the way to saturation, which is over here, that saturation.
[47:01.420 --> 47:05.840]  And it is also driving the output all the way to cutoff.
[47:06.420 --> 47:06.840]  All right?
[47:06.840 --> 47:10.880]  So, the transistor is driven to saturation and cutoff.
[47:11.080 --> 47:13.140]  And we can see that.
[47:13.480 --> 47:13.840]  All right?
[47:13.980 --> 47:15.860]  Let's have a look here.
[47:17.200 --> 47:20.960]  I'm going to remove all of these traces.
[47:22.420 --> 47:22.980]  Okay?
[47:22.980 --> 47:26.700]  And let's look at the collector voltage in itself.
[47:26.700 --> 47:27.300]  All right?
[47:27.300 --> 47:33.860]  So, you see the collector here going all the way down as low as it can.
[47:34.000 --> 47:40.840]  It doesn't reach zero for the simple reason that our emitter is at about 1.3 volts.
[47:40.840 --> 47:47.480]  So, it can only go down as low as the emitter voltage, a little bit above that.
[47:47.700 --> 47:47.960]  All right?
[47:48.080 --> 47:53.540]  So, 1.3 volts, a little bit above, maybe about 1.5, 1.6 volts.
[47:53.760 --> 47:54.460]  All right?
[47:54.500 --> 47:55.380]  For saturation.
[47:55.900 --> 48:03.660]  And then here it is practically turning off, reaching all the way up to almost the supply voltage of 22.
[48:04.500 --> 48:04.940]  All right?
[48:04.940 --> 48:16.260]  And that's really all the transistor can actually manage because it is already reaching its minimum and maximum possible outputs.
[48:16.780 --> 48:16.940]  Okay?
[48:17.300 --> 48:19.120]  So, what can we do about this?
[48:19.120 --> 48:28.940]  Well, obviously, if you configure the transistor this way, then it's because you want it to amplify the signal a very large amount.
[48:28.940 --> 48:35.180]  And the anticipated signal is going to be very small.
[48:36.180 --> 48:36.400]  All right?
[48:36.580 --> 48:47.140]  The input signal must have been anticipated to be very, very small, which is why you wanted to amplify it by such a large factor.
[48:47.720 --> 48:52.120]  So, let's be more realistic and scale this thing down.
[48:52.440 --> 48:52.840]  All right?
[48:52.840 --> 48:58.640]  And let's make this smaller, possibly by a factor of 10.
[48:58.940 --> 49:04.920]  So, here's 0.02 volts of amplitude.
[49:05.580 --> 49:08.280]  And let's simulate this again.
[49:08.280 --> 49:24.780]  And as you can see, even with 0.02 volts, all right, the transistor is happily magnifying this input signal into something significantly bigger.
[49:24.780 --> 49:28.780]  So, again, here is the input signal.
[49:30.780 --> 49:37.560]  20 millivolts, a.k.a. 40 millivolts peak to peak.
[49:37.560 --> 49:50.620]  And when we look at the output, the output is basically going from almost 5 volts.
[49:50.940 --> 49:51.200]  Okay?
[49:51.280 --> 50:01.460]  Let's just guesstimate that and say that's 4.7 all the way down to negative 6.3.
[50:01.460 --> 50:02.600]  All right?
[50:02.600 --> 50:02.680]  All right?
[50:02.680 --> 50:03.080]  All right?
[50:03.080 --> 50:04.120]  All right?
[50:04.640 --> 50:08.280]  Now, how many volts peak to peak is that?
[50:08.720 --> 50:09.020]  All right?
[50:09.240 --> 50:10.440]  So, what did I say?
[50:12.300 --> 50:13.720]  Gamitin na nga natin ito.
[50:13.800 --> 50:14.020]  Ayan.
[50:14.260 --> 50:14.440]  Sige.
[50:14.600 --> 50:17.020]  Para makita natin yung katotohanan.
[50:17.420 --> 50:17.760]  All right?
[50:17.880 --> 50:19.860]  Para makita natin ang katotohanan.
[50:19.860 --> 50:21.140]  Nasa ng acting cursor.
[50:21.880 --> 50:25.200]  That is a 4.6.
[50:25.560 --> 50:26.100]  All right?
[50:27.480 --> 50:34.600]  And that is going all the way down to negative 6.3.
[50:34.600 --> 50:35.200]  Okay?
[50:35.560 --> 50:43.440]  So, 6.3 plus 4.6 is 10.9 volts peak to peak.
[50:43.920 --> 50:44.600]  All right?
[50:44.960 --> 50:47.620]  So, let's do a quick calculation on that.
[50:48.160 --> 50:48.560]  All right?
[50:49.860 --> 50:53.400]  10.9 volts peak to peak.
[50:53.600 --> 50:54.920]  This is your V out.
[50:55.900 --> 50:56.160]  All right?
[50:56.700 --> 50:58.420]  The V in.
[50:58.840 --> 50:59.200]  All right?
[50:59.320 --> 51:07.880]  V in is basically equal to 0.04 volts peak to peak.
[51:08.660 --> 51:09.160]  Okay?
[51:09.620 --> 51:12.780]  So, our voltage gain now is how big?
[51:13.040 --> 51:13.420]  All right?
[51:13.460 --> 51:17.940]  So, let's divide 10.9 by 0.04.
[51:18.580 --> 51:19.000]  All right?
[51:19.000 --> 51:23.780]  And this turns out to be 272.5.
[51:24.400 --> 51:24.740]  Okay?
[51:24.960 --> 51:31.860]  This is a ridiculous, very, very, very, very, very big voltage gain.
[51:32.060 --> 51:32.360]  All right?
[51:32.420 --> 51:34.920]  So, 272.5.
[51:34.920 --> 51:38.380]  I'm adding voltage gain.
[51:38.380 --> 51:39.160]  All right?
[51:39.160 --> 51:51.020]  So, you can get a very large amount of voltage gain from this circuit if you, you know, if you configure it in this particular way.
[51:51.020 --> 51:56.360]  And why it suddenly shoots up to that amount.
[51:56.360 --> 51:56.960]  All right?
[51:56.960 --> 51:58.220]  All right?
[51:58.220 --> 51:58.260]  All right?
[51:58.260 --> 51:58.300]  All right?
[51:58.300 --> 51:58.300] 
[51:58.300 --> 51:58.300] 
[51:58.300 --> 51:58.960]  All right?
[51:58.960 --> 51:59.400]  All right?
[51:59.400 --> 52:10.480]  And what are the principles that actually make this thing happen is what we're going to be taking up in the subsequent lessons forward.
[52:11.060 --> 52:10.440] !
[52:10.440 --> 52:11.360]  Okay?
[52:11.820 --> 52:12.120]  All right.
[52:12.200 --> 52:13.200]  Are there questions?
[52:13.200 --> 52:15.140]  Are there questions?
[52:15.140 --> 52:16.300]  Any questions?
[52:16.300 --> 52:18.080]  Okay ba tayo?
[52:18.080 --> 52:21.000]  Malino ba?
[52:25.800 --> 52:26.400]  Yep.
[52:26.720 --> 52:27.080]  All right.
[52:27.740 --> 52:28.980]  Can we see a thumbs up?
[52:29.080 --> 52:30.480]  Thank you, Mr. Infante.
[52:30.920 --> 52:32.140]  What about the others?
[52:32.140 --> 52:34.440]  You who matulog.
[52:37.000 --> 52:37.420]  Okay?
[52:38.420 --> 52:38.800]  All right.
[52:38.900 --> 52:39.080]  Good.
[52:39.760 --> 52:40.080]  All right.
[52:40.080 --> 52:52.840]  So, one of the things that you probably would have noticed here is that the waveform at the output does not look particularly great.
[52:53.320 --> 52:53.380]  Okay?
[52:53.380 --> 53:05.780]  You can see, hopefully, you can distinguish the fact that in terms of a sinusoidal signal, it does not look particularly good.
[53:06.560 --> 53:06.860]  Okay?
[53:06.860 --> 53:09.240]  So, let's have a look here.
[53:09.980 --> 53:18.440]  You can see that there is a very, very great degree of asymmetry between the top and the bottom portions of the waveform.
[53:18.440 --> 53:24.440]  Compare this to a pure, very, very beautiful sinusoid.
[53:25.760 --> 53:27.380]  Here is the input signal.
[53:27.520 --> 53:33.820]  I'm going to magnify it by a factor of 250 because our calculated gain was 272.
[53:34.680 --> 53:34.940]  Okay?
[53:35.800 --> 53:36.060]  Okay.
[53:36.180 --> 53:38.440]  Let's multiply this by a factor of 272.
[53:39.580 --> 53:40.160]  All right?
[53:40.160 --> 53:53.600]  And you will see that a good sinusoidal signal, if our amplifier were perfect, then the output should have looked something basically like this.
[53:54.020 --> 53:54.300]  All right?
[53:54.920 --> 54:00.300]  It should have looked like the green colored trace except that it would be inverted.
[54:00.780 --> 54:03.080]  So, this is a beautiful looking sinusoid.
[54:03.200 --> 54:04.300]  It's very symmetrical.
[54:04.300 --> 54:09.520]  As you can see, the top and bottom halves of the signal look the same.
[54:10.220 --> 54:10.480]  All right?
[54:10.800 --> 54:19.740]  Whereas our amplified by a factor of 272 output looks squashed.
[54:20.400 --> 54:20.560]  Okay?
[54:21.160 --> 54:23.260]  This looks wide.
[54:23.840 --> 54:24.300]  All right?
[54:24.780 --> 54:27.420]  And compared to the other side, which looks narrow.
[54:27.420 --> 54:33.820]  So, if you look at this one and you look at this one, the output looks narrower.
[54:34.280 --> 54:38.580]  And then if you look at this one versus you look at this one, the output looks wider.
[54:39.180 --> 54:46.180]  So, you can see that the transistor is not doing a particularly good job of doing amplification.
[54:46.380 --> 54:49.880]  The linearity of the amplification is fairly poor.
[54:49.880 --> 54:52.780]  And again, that's sort of expected.
[54:54.640 --> 55:06.120]  The output distortion increases very, very significantly when we are asking the transistor to go to the limits of its supply.
[55:07.140 --> 55:17.140]  And this is where you have a very, very large amount of collector current change, which shifts the beta of the transistor.
[55:17.140 --> 55:20.380]  So, as I said, the transistor beta is not constant.
[55:21.040 --> 55:26.520]  And as you move around the collector current, the beta will shift.
[55:27.040 --> 55:34.060]  And so, therefore, you're going to get a very different amplification factor when the beta changes.
[55:34.520 --> 55:40.280]  So, you really want your beta to remain constant so that the amplification factor remains constant.
[55:40.760 --> 55:43.620]  But bottom line is it's not a perfect transistor.
[55:44.300 --> 55:44.480]  Okay?
[55:44.900 --> 55:45.180]  All right.
[55:45.180 --> 55:46.140]  So, there you go with that.
[55:46.140 --> 55:46.420]  Okay.
[55:48.740 --> 55:51.300]  So, hopefully, there are no questions about this.
[55:51.400 --> 56:05.040]  We'll get back into this thing about distortion and all that and ways by which we might attempt to reduce the apparent nonlinearities of the circuit.
[56:05.040 --> 56:06.020]  All right?
[56:06.840 --> 56:09.260]  In a future lesson.
[56:10.260 --> 56:10.560]  Okay?
[56:10.560 --> 56:10.600]  Okay.
[56:11.020 --> 56:13.400]  So, let's move forward.
[56:14.020 --> 56:17.880]  And let me just stop the share here.
[56:18.040 --> 56:20.660]  And let's go to the next series of slides.
[56:21.540 --> 56:21.820]  Okay?
[56:25.920 --> 56:27.800]  It's asking if I want to save it.
[56:27.920 --> 56:29.260]  No, I don't really have to save it.
[56:29.560 --> 56:29.800]  Okay.
[56:29.800 --> 56:30.800]  Okay.
[56:30.800 --> 56:34.480]  So, let's go to the next series of slides here.
[56:37.680 --> 56:38.660]  Where is it?
[56:39.660 --> 56:40.220]  Okay.
[56:40.420 --> 56:41.580]  I had it ready.
[56:43.580 --> 56:44.580]  This one.
[56:45.580 --> 56:46.100]  Okay.
[56:48.400 --> 56:50.620]  Slide show.
[56:53.460 --> 56:54.180]  Okay.
[56:54.180 --> 56:56.020]  And capture.
[56:56.020 --> 56:56.540]  Okay.
[57:01.220 --> 57:01.660]  Okay.
[57:01.780 --> 57:02.200]  Here we go.
[57:02.720 --> 57:08.400]  So, AC analysis of BJP circuits is the next topic.
[57:08.400 --> 57:15.380]  So, as I said, we're now going to be putting in a signal with the transistor, hopefully, in its active region.
[57:15.960 --> 57:23.120]  And we want to be able to see and, among other things, be able to predict how much amplification we're going to get.
[57:23.940 --> 57:24.200]  Okay?
[57:24.520 --> 57:24.860]  All right.
[57:24.860 --> 57:32.100]  So, unfortunately, this topic is quite a bit more involved.
[57:32.440 --> 57:35.740]  But we'll try to simplify it as much as we can.
[57:37.320 --> 57:40.040]  Not diving too deeply into it.
[57:40.100 --> 57:45.380]  Because, after all, everybody can just run a computer simulation.
[57:45.660 --> 57:51.180]  And you probably get more analysis opportunities with a simulation.
[57:51.980 --> 57:52.160]  Okay.
[57:52.160 --> 57:52.780]  So, anyway.
[57:53.200 --> 57:54.960]  So, let's go forward with this.
[57:55.700 --> 57:56.080]  All right.
[57:56.460 --> 58:02.900]  So, the main objective is to look at a transistor circuit.
[58:03.900 --> 58:04.540]  Okay.
[58:04.540 --> 58:12.780]  And determine what the characteristic voltage gain is going to be.
[58:13.260 --> 58:13.560]  All right.
[58:14.100 --> 58:17.820]  What its current gain is going to be.
[58:17.820 --> 58:26.640]  And just as important, what its input impedance and output impedance is going to be.
[58:26.640 --> 58:27.060]  All right.
[58:27.140 --> 58:40.800]  Now, there's at least one significant new thing here, which is the impedance of the circuit, both at its input and output.
[58:41.480 --> 58:41.780]  Okay.
[58:41.780 --> 58:45.860]  So, you're familiar with the term impedance.
[58:45.860 --> 58:57.060]  And if you're still trying to wrap your head around it, just remember that impedance is basically just a complex version of resistance.
[58:58.240 --> 58:58.400]  Okay.
[58:58.400 --> 59:08.880]  So, if you have some difficulty with accepting the terminology, then substitute impedance with resistance.
[59:09.180 --> 59:12.360]  Maybe it will go with your brain a little bit easier.
[59:12.360 --> 59:13.360]  So, input resistance of the circuit.
[59:13.360 --> 59:15.900]  So, input resistance of the circuit.
[59:15.900 --> 59:20.200]  And output resistance of the circuit.
[59:20.200 --> 59:21.320]  Okay.
[59:21.320 --> 59:21.400]  Okay.
[59:21.400 --> 59:37.860]  So, a large part of the input and output resistance of the circuit is a manifestation of the transistor characteristics itself.
[59:38.440 --> 59:38.700]  All right.
[59:38.700 --> 59:54.460]  So, the transistor in itself will have an input impedance and output impedance that is brought about by its functioning and the fact that it is connected to components in the circuit.
[59:54.460 --> 59:55.540]  Okay.
[59:55.540 --> 01:00:11.360]  And this input impedance will affect how well it can accept a signal and significantly how difficult a driving circuit will have.
[01:00:11.660 --> 01:00:12.020]  All right.
[01:00:12.120 --> 01:00:19.220]  The amount of difficulty that the driving circuit will have putting a signal into this amplifier circuit.
[01:00:20.100 --> 01:00:20.740]  Okay.
[01:00:20.740 --> 01:00:30.100]  And its output impedance, all right, will dictate how well it can drive a next circuit connected to it.
[01:00:30.800 --> 01:00:31.040]  Okay.
[01:00:31.480 --> 01:00:31.800]  All right.
[01:00:31.880 --> 01:00:42.200]  So, to better understand these concepts, all right, we'll be refining these as we go along.
[01:00:42.460 --> 01:00:42.680]  All right.
[01:00:42.680 --> 01:00:52.180]  So, essentially, an amplifier circuit is there to increase the power of an AC signal.
